Date,Sum of Biovolume
10/6/2014,52895.92991
24/6/2014,47034.97547
8/7/2014,1795814.55
22/7/2014,2757568.6
5/8/2014,4963617.835
19/8/2014,5088330.979
2/9/2014,2899867.159
16/9/2014,7554120.212
2/10/2014,5544449.304
14/10/2014,5184586.176
28/10/2014,7527624.85
11/11/2014,13515664.08
26/11/2014,5091516.747
12/12/2014,2140223.98
17/2/2015,26043122.28
4/3/2015,11627536.62
17/3/2015,8346942.637
31/3/2015,7796099.629
14/4/2015,2763861.587
28/4/2015,346079.8119
13/5/2015,39200.14083
26/5/2015,72213.89587
9/6/2015,26728.86297
23/6/2015,99827.23629
7/7/2015,1007178.103
21/7/2015,1886495.105
4/8/2015,1890623.522
18/8/2015,3762626.126
1/9/2015,19262220.33
15/9/2015,13746469.28
29/9/2015,23285132.07
13/10/2015,17238643.43
27/10/2015,3736310.742
10/11/2015,312407.391
26/11/2015,72659.86396
22/12/2015,64834.45569
19/1/2016,65503.08209
16/2/2016,286032.4028
1/3/2016,1721777.747
15/3/2016,9941116.005
29/3/2016,20631903.23
12/4/2016,11718294.76
26/4/2016,1413591.714
10/5/2016,625079.3752
24/5/2016,1174556.546
7/6/2016,2853959.161
21/6/2016,98592.37416
5/7/2016,358551.6809
19/7/2016,907770.7318
29/7/2016,2256929.886
16/8/2016,1929167.791
30/8/2016,3554130.608
13/9/2016,19519475.35
27/9/2016,19975604.78
11/10/2016,11532080.07
25/10/2016,2943076.002
8/11/2016,2561667.438
22/11/2016,4463324.372
6/12/2016,2356994.355
20/12/2016,2921936.675
,
