,YearMonth,Year,Month,Season,Cryto.Biovolume,Cyano.Biovolume,Diatoms.Biovolume,Greens.Biovolume,Total.Biovolume,waterlevel.masl,Daphnia,RB5.ChlA,RB5.NO3,RB5.SRP,RB5.SRSi,RB5.TP,RB5.SD,RB5.Temp,RB5.pH,RB5.DO
33,1/9/2006,2006,9,Autumn,38273.02601,1785052.862,9298186.574,511886.5645,11633399.03,106.81,1.05,51.9,0.025,9.1,3.925,79.85,0.98,15.6,8.01,82.95
34,1/10/2006,2006,10,Autumn,340979.3546,677438.3337,86244010.68,287055.4871,87549483.86,107.0133333,0.233333333,76.73333333,0.096666667,6.033333333,0.626666667,68.2,1.06,12.53333333,8.416666667,96.53333333
35,1/11/2006,2006,11,Autumn,NA,NA,NA,NA,NA,107.285,0.5,30.1,0.44,5.7,0.15,46.6,1.3,7,8.2,91.1
36,1/12/2006,2006,12,Winter,39338.23098,3145.216748,3086056.577,15947.77816,3144487.803,107.77,1.55,22.4,1.47,9.45,3.43,47.1,0.91,4.95,8.435,87.8
37,1/1/2007,2007,1,Winter,8729.670421,3679.867468,8257562.178,124520.1769,8394491.893,107.305,2.45,29.6,2.305,10.655,3.615,34.255,NA,3.1,NA,NA
38,1/2/2007,2007,2,Winter,40631.99683,5299.712765,28081167.44,170322.4611,28297421.61,107.225,1.7,30.4,2.08,4.4,0.14,21.695,NA,4.1,NA,NA
39,1/3/2007,2007,3,Spring,346712.4191,NA,8221452.562,17597.9791,NA,107.465,2.7,19.3,1.79,3.15,0.265,37.11,NA,5.55,NA,NA
40,1/4/2007,2007,4,Spring,67215.36681,8233.868511,4500206.028,156727.34,4732382.603,107.28,6.05,6.24,1.6,3.9,0.53,21.805,NA,9.95,NA,NA
41,1/5/2007,2007,5,Spring,1462498.405,25123.7119,961636.6951,1198877.129,3648135.941,107.055,27.83333333,9.266666667,0.943333333,4.81,0.973333333,18.34,NA,12.65,NA,NA
42,1/6/2007,2007,6,Summer,401001.8623,108331.6252,294954.9963,107749.8722,912038.356,107.13,3,15.35,0.355,2.73,1.965,22.49,NA,15.85,NA,NA
43,1/7/2007,2007,7,Summer,229779.1436,1652186.452,4502499.784,830980.8303,7215446.21,107.27,4,40.2,0.145,2.34,1.82,33.345,NA,16.3,NA,NA
44,1/8/2007,2007,8,Summer,570804.1463,2324147.624,950020.7297,451971.3063,4296943.806,107.31,6.15,23.9,0.075,3.905,3.06,40.88,NA,16.05,NA,NA
45,1/9/2007,2007,9,Autumn,87615.97437,1958947.691,553244.6913,81689.84854,2681498.205,107.175,37,37,0.015,5.465,7.49,47.385,NA,13.95,NA,NA
46,1/10/2007,2007,10,Autumn,135270.4096,98400.92514,708995.1675,73380.96045,1016047.463,106.77,0.066666667,27.06666667,0.096666667,5.5,6.35,34.48333333,NA,11.06666667,NA,NA
47,1/11/2007,2007,11,Autumn,617535.045,25840.02239,2866609.722,211178.5061,3721163.295,106.71,0.4,24,0.49,11.03,10.19,34.825,NA,6.9,NA,NA
48,1/12/2007,2007,12,Winter,410744.4728,NA,7184819.326,32497.7856,NA,106.82,0.3,27.8,0.99,15.72,9.72,43.39,NA,4.3,NA,NA
49,1/1/2008,2008,1,Winter,265770.0324,25529.35046,1725129.724,131306.0221,2147735.129,107.2100025,0.175,16.97,NA,13.805,8.37,37.375,NA,3.145,NA,NA
50,1/2/2008,2008,2,Winter,541275.0419,1933.651507,8841984.546,2266376.884,11651570.12,107.6932613,0.025,29.2,NA,7.405,6.335,35.035,NA,3.9,NA,NA
51,1/3/2008,2008,3,Spring,1239854.862,48768.36007,33340845.08,7147581.821,41777050.12,107.5197838,0,40.72,NA,2.34,0.86,31.655,NA,5.1,NA,NA
52,1/4/2008,2008,4,Spring,163867.0957,120295.7953,1726592.513,221879.3542,2232634.758,107.2638631,1.625,17.315,NA,4.046666667,0.395,25.115,NA,7.786666667,NA,NA
53,1/5/2008,2008,5,Spring,494654.1424,109473.7068,330663.6742,237008.231,1171799.754,107.234785,33.85,9.425,NA,39.1,1.255,22.66,NA,13.8,NA,NA
54,1/6/2008,2008,6,Summer,1632599.609,NA,122312.2207,133545.6392,NA,107.0414815,4.25,5.255,NA,5.79,2.03,24.275,NA,15.5,NA,NA
55,1/7/2008,2008,7,Summer,2386841.044,468598.915,1822249.181,674560.0784,5352249.218,106.9522645,3.525,8.455,NA,7.755,2.24,33.23,NA,16.25,NA,NA
56,1/8/2008,2008,8,Summer,951975.2955,79924.16083,6833416.741,949509.3093,8814825.507,107.18522,53.325,28.17,NA,6.215,0.605,42.775,NA,17.65,NA,NA
57,1/9/2008,2008,9,Autumn,767286.1961,1578901.982,4236180.995,946798.7423,7529167.915,107.1330115,0.533333333,34.05333333,NA,3.37,1.886666667,35.6,NA,15,NA,NA
58,1/10/2008,2008,10,Autumn,462896.9453,453982.3216,9224318.453,1360478.011,11501675.73,107.2630371,1.2,41.225,NA,2.295,0.95,38.015,NA,9,NA,NA
59,1/11/2008,2008,11,Autumn,683723.0789,276951.8819,8885050.746,289916.3908,10135642.1,107.1916635,0.633333333,39.52,NA,41.46,1.32,40.555,NA,5.3,NA,NA
60,1/12/2008,2008,12,Winter,246962.6026,273467.3114,10001198.98,1053088.238,11574717.13,NA,0.45,25.86,NA,8.24,0.3,31.78,NA,1.6,NA,NA
61,1/1/2009,2009,1,Winter,82395.57921,217075.7702,14353529.4,703294.6162,15356295.37,107.7720696,0.55,NA,NA,NA,NA,NA,NA,2.45,NA,NA
62,1/2/2009,2009,2,Winter,213550.8458,33275.80111,8115144.702,299866.5401,8661837.889,107.195133,0.2,16.48,NA,8.02,0.17,31.98,NA,2.15,NA,NA
63,1/3/2009,2009,3,Spring,646100.4475,273233.5483,4385826.468,1624971.649,6930132.113,107.2265242,0.266666667,16.84,NA,8.03,0.243333333,31.45,NA,6.4,NA,NA
64,1/4/2009,2009,4,Spring,503524.0469,3947071.92,796023.1304,307508.8493,5554127.947,107.314089,9.275,14.89,NA,7.935,0.885,30.09,NA,10.45,NA,NA
65,1/5/2009,2009,5,Spring,1262555.86,131859.3865,1407300.819,1905505.7,4707221.766,107.433045,20.025,4.725,NA,9.535,1.785,31.775,NA,12.4,NA,NA
66,1/6/2009,2009,6,Summer,2343039.553,184212.7365,233637.1306,1224580.413,3985469.833,107.3463063,18.7,3.445,NA,11.385,1.875,21.39,NA,18.2,NA,NA
67,1/7/2009,2009,7,Summer,4644386.163,1884501.812,3137356.677,1909991.608,11576236.26,107.224872,51.8,20.615,NA,8.215,1.89,28.715,NA,18.3,NA,NA
68,1/8/2009,2009,8,Summer,1014370.31,6897856.922,1567405.426,1047726.038,10527358.7,107.1108725,0.75,16.64,NA,9.205,2.51,40.97,NA,14.275,NA,NA
69,1/9/2009,2009,9,Autumn,114619.0149,7210127.959,14708451.53,436362.5562,22469561.06,107.2182633,1.7,22.72333333,NA,8.2,1.37,56.85666667,NA,13.45,NA,NA
70,1/10/2009,2009,10,Autumn,404522.4597,100141.1503,393666.7535,140646.4214,1038976.785,106.8729605,1.65,14.52,NA,7.83,3.905,46.43,NA,10.35,NA,NA
71,1/11/2009,2009,11,Autumn,398121.5327,123313.4883,130535.6799,47476.43939,699447.1403,107.393393,0.15,13.39,NA,13.06,5.815,56.49,NA,7.166666667,NA,NA
72,1/12/2009,2009,12,Winter,11914.40306,29062.86268,283572.683,80909.42516,405459.3739,107.324002,0.275,13.095,NA,15.415,6.935,45.855,NA,2.85,NA,NA
73,1/1/2010,2010,1,Winter,NA,NA,NA,NA,NA,106.9720905,0,NA,NA,NA,NA,NA,NA,1.75,NA,NA
74,1/2/2010,2010,2,Winter,NA,NA,NA,NA,NA,107.036525,0,24.34,NA,7.2,5.89,30.53,NA,1.75,7.82,93.7
75,1/3/2010,2010,3,Spring,18506.83672,6490.893912,13130532.14,53526.42967,13209056.3,107.314089,0.15,40.585,NA,9.225,0.395,71.09,0.89,4.35,8.685,97.4
76,1/4/2010,2010,4,Spring,79687.40638,75501.9387,6327463.117,315026.5652,6797679.027,107.4652623,0.125,24.665,NA,6.28,0.355,31.69,1.1,10.14666667,8.785,107.5
77,1/5/2010,2010,5,Spring,227742.1002,34910.4315,1368597.513,236442.9704,1867693.015,107.393393,25.525,7.615,NA,6.355,0.73,22.295,3.36,14.165,8.23,100.65
78,1/6/2010,2010,6,Summer,412770.8008,84534.40502,30651.63194,258290.6496,786247.4874,107.2199155,6.6,4.5,NA,5.63,1.45,23.06,3.165,17.4,8.93,105.05
79,1/7/2010,2010,7,Summer,149088.0441,524613.6787,8163917.58,228377.8449,9065997.148,107.254611,1.65,37.045,NA,NA,1.14,NA,1.595,17.535,9.19,108.65
80,1/8/2010,2010,8,Summer,78058.33625,161682.5432,3597306.29,204017.4787,4041064.648,107.076177,0.85,30.29333333,NA,3.62,1.16,36.43666667,1.29,17.29,9.046666667,104.2333333
81,1/9/2010,2010,9,Autumn,70433.98802,147900.9886,2257117.101,183440.1196,2658892.197,106.9448298,9.975,24.405,NA,5.81,3.02,39.835,1.615,13.42,8.095,94.05
82,1/10/2010,2010,10,Autumn,114046.0638,41421.5193,1181247.09,22863.78918,1359578.462,106.8952648,0.225,26.08,NA,2.355,3.575,29.22,1.835,9.52,7.935,95.3
83,1/11/2010,2010,11,Autumn,202048.5457,28435.01361,8960685.051,187072.1446,9378240.755,107.135655,0,48.5,NA,2.725,2.21,43.175,1.095,5.615,8.435,93.65
84,1/12/2010,2010,12,Winter,31466.69975,22561.53588,5718607.356,56995.36628,5829630.958,NA,0,NA,NA,NA,NA,NA,1.19,4.93,NA,NA
85,1/1/2011,2011,1,Winter,39644.2768,10180.42745,1768263.646,257397.2108,2075485.561,107.611479,0,11.63,NA,5.52,2.98,46.68,1.095,3.8,7.31,88.5
86,1/2/2011,2011,2,Winter,19542.02951,61147.37066,3491778.882,444841.3964,4017309.679,107.829565,0,22.32,NA,3.835,3.115,33.535,1.415,5.15,8.155,98.9
87,1/3/2011,2011,3,Spring,37274.42692,30041.37082,5901387.872,182887.6999,6151591.37,107.552001,0,14.53,NA,72.7,0.01,35.44,1.25,5.47,8.87,107.2
88,1/4/2011,2011,4,Spring,373480.446,90224.50647,3157074.401,664167.9699,4284947.323,107.591653,0.666666667,18.87,NA,1.17,0.425,28.14,1.665,12.735,8.52,86.05
89,1/5/2011,2011,5,Spring,185338.5829,53030.2724,254422.966,151906.9023,644698.7236,107.423132,26.66,11.08,NA,3.313333333,0.886666667,30.08666667,2.79,12.85666667,8.25,95.46666667
90,1/6/2011,2011,6,Summer,297101.6803,17034.58211,153858.7693,469891.4393,937886.471,107.373567,18.525,13.305,NA,4.08,1.31,56.365,2.14,14.985,8.51,98.6
91,1/7/2011,2011,7,Summer,20025.49401,679955.0204,17308364.81,399996.5649,18408341.89,107.2570893,12.425,30.08,NA,4.655,0.99,26.475,1.705,18,8.965,110.6
92,1/8/2011,2011,8,Summer,449210.9372,902745.5466,2257420.001,824614.0225,4433990.507,107.343828,1.7,43.375,NA,5.155,0.575,38.21,1.45,15.65,8.615,98.95
93,1/9/2011,2011,9,Autumn,210644.5584,118533.2377,1036282.862,153073.3901,1518534.048,107.7722679,4.975,17.86,NA,5.875,1.9,49.43,1.85,13.61,7.98,96.65
94,1/10/2011,2011,10,Autumn,500832.8813,29908.01921,3358987.41,278686.4743,4168414.785,106.996873,2.7,24.62,NA,8.46,3.01,62.61,1.19,12.835,8.48,98.55
95,1/11/2011,2011,11,Autumn,233032.2643,19500.45213,4598828.124,501064.1967,5352425.037,106.877917,0.88,33.75,NA,6.52,2.455,59.69,1.155,9.6,7.95,96.1
96,1/12/2011,2011,12,Winter,67027.28295,11168.76705,3018541.649,49280.42455,3146018.124,107.4181755,0.133333333,19.43,NA,5.39,3.2,60.15,1.13,5.685,8.9,91.5
97,1/1/2012,2012,1,Winter,145329.8823,9969.162635,3415227.327,96753.93982,3667280.312,107.036525,0.133333333,15.76666667,NA,5.87,4.413333333,60.13333333,1.583333333,3.3,7.906666667,94.86666667
98,1/2/2012,2012,2,Winter,531643.272,18886.60926,6945512.14,311967.3703,7808009.392,107.096003,0.575,26.975,NA,6.52,2.205,34.37,1.53,5.835,8.405,100.3
99,1/3/2012,2012,3,Spring,NA,NA,NA,NA,NA,107.135655,3.75,13.42,NA,5.71,0.41,31.62,2.25,11.37,8.07,106.6
100,1/4/2012,2012,4,Spring,213495.9438,38645.11257,731578.0326,306533.5667,1290252.656,107.2298285,19.84,12.42,NA,1.02,0.61,40.58,1.645,8.47,8.24,94.8
101,1/5/2012,2012,5,Spring,330115.521,4807.333502,208201.9996,105314.8477,648439.7018,107.462784,15.6,6.393333333,NA,4.433333333,1.04,28.69666667,3.406666667,12.21333333,7.973333333,96.5
102,1/6/2012,2012,6,Summer,353504.713,177906.312,616220.0019,520562.0093,1668193.036,107.433045,1.3,16.69,NA,3.97,2.1,29.13,2,17.03,8.89,110.4
103,1/7/2012,2012,7,Summer,174414.0102,208420.6137,990578.3821,633104.2153,2006517.221,107.4776535,5.725,23.19,NA,4.335,2.43,31.53,1.825,16.485,8.56,100.25
104,1/8/2012,2012,8,Summer,308322.9046,178339.0773,1293842.618,354349.3374,2134853.937,107.1926548,1.1,28.025,NA,3.085,1.25,32.61,1.615,18.285,9.28,110.7
105,1/9/2012,2012,9,Autumn,89469.53538,179682.5404,12904067.05,226613.5881,13399832.71,107.0290903,0.9,44.805,NA,5.16,0.45,42.97,1.21,14.09,8.955,105.3
106,1/10/2012,2012,10,Autumn,323185.2974,174288.1596,3442575.888,703594.1329,4643643.478,107.155481,0.45,42.79,NA,4.315,1.48,38.27,1.23,10.015,8.46,97.45
107,1/11/2012,2012,11,Autumn,281440.0628,190420.6661,7928264.722,151662.3518,8551787.803,107.1802635,0.04,36.66,NA,5.006666667,0.556666667,36.79666667,1.33,6.863333333,8.77,97.23333333
108,1/12/2012,2012,12,Winter,NA,NA,NA,NA,NA,NA,0,39.02,NA,24.07,2.46,44.05,1.26,5.53,NA,NA
109,1/1/2013,2013,1,Winter,155340.4486,102729.0174,7739909.494,186427.6722,8184406.632,107.4677405,0,42,NA,16.575,2.08,42.975,1.39,3.83,7.405,97.25
110,1/2/2013,2013,2,Winter,218992.7858,285464.266,7816139.84,167929.3191,8488526.211,107.7393567,0,27.655,NA,20.285,0.425,46.225,0.93,3.63,7.75,96.6
111,1/3/2013,2013,3,Spring,364315.6763,222307.4315,5254808.915,205286.5695,6046718.592,107.224872,0,20.895,NA,10.245,0.68,32.45,1.235,3.95,7.785,101.85
112,1/4/2013,2013,4,Spring,198492.6304,1362136.714,5923867.364,503471.355,7987968.063,107.3530801,0,12.77666667,NA,9.913333333,1.113333333,28.23333333,1.326666667,6.47,9.19,100.8
113,1/5/2013,2013,5,Spring,300476.5464,391317.2829,813395.2957,247203.6688,1752392.794,107.452871,1.375,12.505,NA,8.185,0.97,26.85,1.87,11.53,6.995,96.1
114,1/6/2013,2013,6,Summer,232945.621,55429.15924,20304.58507,458.0792418,309137.4446,107.3760453,56.8,36.24,NA,7.55,1.98,61.67,1.885,16.935,7.725,95.95
115,1/7/2013,2013,7,Summer,886870.0638,666809.0874,95856.21307,453883.5089,2103418.873,107.1901765,8.675,55.755,NA,4.95,0.575,77.15,2.475,21.065,8.695,120.95
116,1/8/2013,2013,8,Summer,352788.7902,6056997.078,9787072.961,347696.7092,16544555.54,107.0439598,0.975,60.09,NA,8.79,1.435,75.81,0.99,17.67,8.865,102.39
117,1/9/2013,2013,9,Autumn,299644.4554,1072541.756,2563479.172,513397.3587,4449062.742,106.947308,1.566666667,34.635,NA,4.075,0.51,66.105,1.085,16.77,7.32,92.8
118,1/10/2013,2013,10,Autumn,406701.9199,458438.0994,8940267.251,362744.003,10168151.27,107.1735887,8.375,36.19333333,NA,7.62,NA,55.24666667,1.363333333,11.35666667,6.836666667,92.3
119,1/11/2013,NA,NA,NA,92636.15995,88795.55166,63716.29052,36465.70518,281613.7073,NA,9.275,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1/12/2013,NA,NA,NA,197460.2599,145536.7332,476355.1004,430926.7838,1250278.877,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,1/1/2014,2014,1,Winter,124685.1719,169094.3582,1802285.897,199418.9349,2295484.362,NA,1.3,7.62,NA,NA,NA,NA,1.85,4.9,NA,NA
122,1/2/2014,2014,2,Winter,168335.8181,265107.0736,10849428.9,105419.3837,11388291.18,NA,1.8,19.21,NA,7.04,NA,33.57,1.85,4.7,NA,NA
123,1/3/2014,2014,3,Spring,276286.4962,363142.9631,3810612.214,71426.40925,4521468.083,NA,1.083333333,14.735,NA,1.79,NA,26.895,1.85,5.85,NA,NA
124,1/4/2014,2014,4,Spring,381764.3395,1628044.504,11847090.56,50899.90432,13907799.31,NA,13.9,13.04,NA,1.973333333,NA,22.99,1.85,8.733333333,NA,NA
125,1/5/2014,2014,5,Spring,487364.2201,347117.6679,366806.0299,93876.44474,1295164.363,NA,7.025,10.33,NA,1.56,NA,20.5,1.85,13.6,NA,NA
126,1/6/2014,2014,6,Summer,717159.7867,542170.981,52895.92991,152747.0008,1464973.698,NA,5.9,6.62,NA,1.74,NA,22.195,1.85,17.1,NA,NA
127,1/7/2014,2014,7,Summer,386347.3056,545636.2782,1795814.55,212079.0247,2939877.159,NA,20.8,19.68,NA,2.435,NA,31.98,1.85,17.55,NA,NA
128,1/8/2014,2014,8,Summer,425714.6204,1548237.585,4963617.835,241482.273,7179052.313,NA,0.725,28.515,NA,5.215,NA,62.265,1.55,17.635,8.95,96.5
129,1/9/2014,2014,9,Autumn,131990.4354,615124.0247,2899867.159,251087.5046,3898069.124,NA,0.275,26.94,NA,3.255,NA,55.605,1.235,15.38,8.495,96.3
130,1/10/2014,2014,10,Autumn,228386.8074,381733.3504,5544449.304,246485.4637,6401054.926,NA,2.516666667,36.8,NA,3.576666667,NA,66.39333333,1.296666667,11.99,7.973333333,97.2
131,1/11/2014,2014,11,Autumn,229033.9459,76472.35902,13515664.08,165696.1383,13986866.52,NA,4.625,28.535,NA,4.88,NA,41.595,1.59,8.115,7.86,98.95
132,1/12/2014,2014,12,Winter,140769.2952,90364.91066,2140223.98,42686.03965,2414044.226,NA,1.95,8.95,NA,5.57,NA,28.06,1.65,3.4,7.55,96.6
133,1/1/2015,2015,1,Winter,NA,NA,NA,NA,NA,NA,0.766666667,6.78,NA,8.73,NA,31.36,1.54,4.53,8.13,91.1
134,1/2/2015,2015,2,Winter,246787.1313,9569.198751,26043122.28,120140.4304,26419619.04,NA,0.366666667,43.57,NA,2.26,NA,34.32,1.45,4.015,9.12,100.5
135,1/3/2015,2015,3,Spring,449840.8409,19153.62743,11627536.62,179754.3348,12276285.42,NA,0.2,28.24,NA,2.29,NA,39.72666667,1.306666667,5.543333333,7.68,94.93333333
136,1/4/2015,2015,4,Spring,305085.1369,51868.97876,2763861.587,235925.1502,3356740.853,NA,6.25,8.595,NA,4.715,NA,23.7,1.93,10.05,7.8,88.65
137,1/5/2015,2015,5,Spring,112177.9758,16058.07028,39200.14083,14345.14078,181781.3277,NA,26.85,5.845,NA,15.595,NA,21.19,3.14,12.115,8.62,94.8
138,1/6/2015,2015,6,Summer,384152.8943,208388.9508,26728.86297,95628.95138,714899.6595,NA,6.266666667,7.17,NA,14.45,NA,24.72,3.645,14.48,8.325,95.25
139,1/7/2015,2015,7,Summer,592363.5674,195283.1451,1007178.103,190036.2169,1984861.032,NA,6.1,13.045,NA,11.78,NA,24.7,2.63,16.65,8.38,92.45
140,1/8/2015,2015,8,Summer,401590.4464,1090109.547,1890623.522,1187910.949,4570234.464,NA,0.416666667,30.025,NA,4.325,NA,46.015,1.2,15.865,9.055,99.9
141,1/9/2015,2015,9,Autumn,216280.4659,407053.6483,19262220.33,700651.3544,20586205.8,NA,0.25,39.86333333,NA,4.506666667,NA,38.51666667,0.986666667,14.14666667,8.69,103.0333333
142,1/10/2015,2015,10,Autumn,258332.7786,75062.69423,17238643.43,231439.8706,17803478.77,NA,14.6,27.455,NA,8.47,NA,45.43,1.35,10.7,7.795,91.3
143,1/11/2015,2015,11,Autumn,66331.8861,4230.829503,312407.391,129343.7938,512313.9004,NA,15.975,2.705,NA,30.42,NA,68.675,2.425,7.385,8,86.9
144,1/12/2015,2015,12,Winter,22213.41852,26324.86703,64834.45569,29584.9364,142957.6776,NA,3.166666667,2.17,NA,33.33,NA,47.64,2.29,6.1,7.83,90.5
145,1/1/2016,2016,1,Winter,20616.45847,6782.260159,65503.08209,11367.85627,104269.657,NA,2.433333333,0.81,NA,34.84,NA,39.39,2.44,4.75,7.23,83.3
146,1/2/2016,2016,2,Winter,104963.547,6392.790732,286032.4028,32616.31237,430005.0529,NA,3.366666667,2.26,NA,27.89,NA,40.29,2.565,2.52,6.82,86.5
147,1/3/2016,2016,3,Spring,413589.7036,66786.74165,1721777.747,24839.56458,2226993.757,NA,1.4,26.8,NA,9.41,NA,39.06,1.7,5.266666667,7.656666667,99
148,1/4/2016,2016,4,Spring,111933.1967,9703.836472,11718294.76,28085.17135,11868016.96,NA,19.2,10.29,NA,2.995,NA,21.595,2.195,8.45,7.535,90.75
149,1/5/2016,2016,5,Spring,664387.2968,175071.854,625079.3752,299519.0902,1764057.616,NA,24.65,4.48,NA,4.235,NA,15.445,4.245,13.985,7.29,95.45
150,1/6/2016,2016,6,Summer,858256.3276,154435.2502,2853959.161,131115.9249,3997766.664,NA,9.48,8.495,NA,6.82,NA,24.975,2.985,17.485,6.73,97.7
151,1/7/2016,2016,7,Summer,128595.1516,2774269.34,358551.6809,205147.4379,3466563.61,NA,4.916666667,16.86,NA,10.17,NA,41.53333333,1.986666667,17.2,8.276666667,95.9
