Location Code ,Date,Whitton Code,Taxa,Original count Unit,Original no's (per ml),Biovolume units,Biovolume (µm^3 per ml),mean cell/fil. length,mean cell width/diameter,mean cell depth,mean biovolume,Mean Staurastrum or Ceratium cell volume ,cells/colony or filament,Factor,Year,Month,Group code,Group,Genus,,,,,,,,
RB5,11/02/2004,17680030,Pediastrum boryanum,CO,10,,"130,692",,,,,,1,,2004,2,17,,Pediastrum,boryanum,,,,,,,
RB5,11/02/2004,17810000,Scenedesmus - small celled,CO,178,,"50,098",,,,,,4,,2004,2,17,,Scenedesmus,-,small,celled,,,,,
RB5,11/02/2004,27040000,Closterium,CE,1,,"6,937",,,,,,1,,2004,2,27,,Closterium,,,,,,,,
RB5,11/02/2004,27370000,Staurastrum,CE,0,,"4,524",,,,,,1,,2004,2,27,,Staurastrum,,,,,,,,
RB5,09/03/2004,01020050,Anabaena circinalis,FI,67,,"154,661",,,,,,8.666666667,,2004,3,01,,Anabaena,circinalis,,,,,,,
RB5,09/03/2004,01750010,Snowella lacustris,CO,22,,"17,567",,,,,,48,,2004,3,01,,Snowella,lacustris,,,,,,,
RB5,09/03/2004,01780010,Woronichinia naegeliana,CO,67,,"84,766",,,,,,25.33333333,,2004,3,01,,Woronichinia,naegeliana,,,,,,,
RB5,09/03/2004,05100012,Rhodomonas lacustris var. nannoplanctica,CE,111,,"6,617",,,,,,1,,2004,3,05,,Rhodomonas,lacustris,var.,nannoplanctica,,,,,
RB5,09/03/2004,06070000,Gymnodinium,CE,75,,"58,955",,,,,,1,,2004,3,06,,Gymnodinium,,,,,,,,
RB5,09/03/2004,12030000,Aulacoseira - fat,CE,488,,"536,760",,,,,,1,,2004,3,12,,Aulacoseira,-,fat,,,,,,
RB5,09/03/2004,12030000,Aulacoseira - thin,CE,2396,,"1,475,603",,,,,,1,,2004,3,12,,Aulacoseira,-,thin,,,,,,
RB5,09/03/2004,13080010,Asterionella formosa,CE,1553,,"1,255,792",,,,,,1,,2004,3,13,,Asterionella,formosa,,,,,,,
RB5,09/03/2004,13260000,Diatoma,CE,111,,"262,109",,,,,,1,,2004,3,13,,Diatoma,,,,,,,,
RB5,09/03/2004,13810010,Synedra acus,CE,44,,"99,851",,,,,,1,,2004,3,13,,Synedra,acus,,,,,,,
RB5,09/03/2004,17200000,Coelastrum,CO,22,,"47,588",,,,,,8,,2004,3,17,,Coelastrum,,,,,,,,
RB5,09/03/2004,17570010,Micractinium pusillum,CO,67,,"47,820",,,,,,4,,2004,3,17,,Micractinium,pusillum,,,,,,,
RB5,09/03/2004,17580020,Monoraphidium contortum,CE,821,,"7,738",,,,,,1,,2004,3,17,,Monoraphidium,contortum,,,,,,,
RB5,09/03/2004,17580110,Monoraphidium pusillum,CE,44,,"3,532",,,,,,1,,2004,3,17,,Monoraphidium,pusillum,,,,,,,
RB5,09/03/2004,17680000,Pediastrum,CO,4,,"58,228",,,,,,1,,2004,3,17,,Pediastrum,,,,,,,,
RB5,09/03/2004,17810000,Scenedesmus - small celled,CO,244,,"43,835",,,,,,2.545454545,,2004,3,17,,Scenedesmus,-,small,celled,,,,,
RB5,09/03/2004,17960030,Tetraedron minimum,CE,22,,"3,262",,,,,,1,,2004,3,17,,Tetraedron,minimum,,,,,,,
RB5,09/03/2004,27040000,Closterium,CE,1,,"5,871",,,,,,1,,2004,3,27,,Closterium,,,,,,,,
RB5,20/04/2004,01020050,Anabaena circinalis,FI,11,,"80,305",,,,,,27,,2004,4,01,,Anabaena,circinalis,,,,,,,
RB5,20/04/2004,01130000,Chroococcus,CO,11,,"3,985",,,,,,2,,2004,4,01,,Chroococcus,,,,,,,,
RB5,20/04/2004,05040002,Cryptomonas (medium) L=21-30um,CE,106,,"281,965",,,,,,1,,2004,4,05,,Cryptomonas,(medium),L=21-30um,,,,,,
RB5,20/04/2004,05040003,Cryptomonas (large) L>31um,CE,14,,"68,799",,,,,,1,,2004,4,05,,Cryptomonas,(large),L>31um,,,,,,
RB5,20/04/2004,05100010,Rhodomonas lacustris,CE,643,,"78,841",,,,,,1,,2004,4,05,,Rhodomonas,lacustris,,,,,,,
RB5,20/04/2004,06070000,Gymnodinium,CE,31,,"24,025",,,,,,1,,2004,4,06,,Gymnodinium,,,,,,,,
RB5,20/04/2004,12000001,Small centric diatom (6-10um diam.),CE,33,,"6,405",,,,,,1,,2004,4,12,,Small Centric,centric,diatom,(6-10um,diam.),,,,
RB5,20/04/2004,12000002,Medium centric diatom (11-20um diam.),CE,11,,"19,606",,,,,,1,,2004,4,12,,Medium Centric,centric,diatom,(11-20um,diam.),,,,
RB5,20/04/2004,12030000,Aulacoseira - fat,CE,67,,"73,195",,,,,,1,,2004,4,12,,Aulacoseira,-,fat,,,,,,
RB5,20/04/2004,12030000,Aulacoseira - thin,CE,200,,"122,967",,,,,,1,,2004,4,12,,Aulacoseira,-,thin,,,,,,
RB5,20/04/2004,13080010,Asterionella formosa,CE,1520,,"1,228,883",,,,,,1,,2004,4,13,,Asterionella,formosa,,,,,,,
RB5,20/04/2004,17580020,Monoraphidium contortum,CE,477,,"4,496",,,,,,1,,2004,4,17,,Monoraphidium,contortum,,,,,,,
RB5,20/04/2004,17810000,Scenedesmus - small celled,CO,78,,"21,918",,,,,,4,,2004,4,17,,Scenedesmus,-,small,celled,,,,,
RB5,20/04/2004,27050000,Cosmarium,CE,4,,"36,857",,,,,,1,,2004,4,27,,Cosmarium,,,,,,,,
RB5,20/04/2004,27370000,Staurastrum,CE,1,,"15,726",,,,,,1,,2004,4,27,,Staurastrum,,,,,,,,
RB5,18/05/2004,05040001,Cryptomonas (small) L<20um,CE,865,,"1,042,151",,,,,,1,,2004,5,05,,Cryptomonas,(small),L<20um,,,,,,
RB5,18/05/2004,05040003,Cryptomonas (large) L>31um,CE,39,,"192,638",,,,,,1,,2004,5,05,,Cryptomonas,(large),L>31um,,,,,,
RB5,18/05/2004,05100000,Rhodomonas,CE,688,,"90,761",,,,,,1,,2004,5,05,,Rhodomonas,,,,,,,,
RB5,18/05/2004,12000001,Small centric diatom (6-10um diam.),CE,44,,"8,539",,,,,,1,,2004,5,12,,Small Centric,centric,diatom,(6-10um,diam.),,,,
RB5,18/05/2004,12000002,Medium centric diatom (11-20um diam.),CE,1,,"2,457",,,,,,1,,2004,5,12,,Medium Centric,centric,diatom,(11-20um,diam.),,,,
RB5,18/05/2004,17680000,Pediastrum,CO,1,,"10,921",,,,,,1,,2004,5,17,,Pediastrum,,,,,,,,
RB5,18/05/2004,27050000,Cosmarium,CE,2,,"18,428",,,,,,1,,2004,5,27,,Cosmarium,,,,,,,,
RB5,08/06/2004,05040001,Cryptomonas (small) L<20um,CE,410,,"408,379",,,,,,1,,2004,6,05,,Cryptomonas,(small),L<20um,,,,,,
RB5,08/06/2004,05040002,Cryptomonas (medium) L=21-30um,CE,78,,"231,132",,,,,,1,,2004,6,05,,Cryptomonas,(medium),L=21-30um,,,,,,
RB5,08/06/2004,12000001,Small centric diatom (6-10um diam.),CE,466,,"89,663",,,,,,1,,2004,6,12,,Small Centric,centric,diatom,(6-10um,diam.),,,,
RB5,08/06/2004,12000002,Medium centric diatom (11-20um diam.),CE,12,,"21,289",,,,,,1,,2004,6,12,,Medium Centric,centric,diatom,(11-20um,diam.),,,,
RB5,08/06/2004,12030000,Aulacoseira - thin,CE,22,,"13,663",,,,,,1,,2004,6,12,,Aulacoseira,-,thin,,,,,,
RB5,08/06/2004,17330040,Dictyosphaerium pulchellum,CO,1,,"2,132",,,,,,16,,2004,6,17,,Dictyosphaerium,pulchellum,,,,,,,
RB5,08/06/2004,17640000,Oocystis,CE,28,,"48,504",,,,,,1,,2004,6,17,,Oocystis,,,,,,,,
RB5,08/06/2004,17680000,Pediastrum,CO,1,,"14,557",,,,,,1,,2004,6,17,,Pediastrum,,,,,,,,
RB5,08/06/2004,17810000,Scenedesmus - small celled,CO,11,,"3,131",,,,,,4,,2004,6,17,,Scenedesmus,-,small,celled,,,,,
RB5,08/06/2004,17910020,Sphaerocystis schroeteri,CO,12,,"50,464",,,,,,8,,2004,6,17,,Sphaerocystis,schroeteri,,,,,,,
RB5,08/06/2004,27050000,Cosmarium,CE,4,,"32,753",,,,,,1,,2004,6,27,,Cosmarium,,,,,,,,
RB5,13/07/2004,01020000,Anabaena,FI,50,,"371,201",,,,,,36,,2004,7,01,,Anabaena,,,,,,,,
RB5,13/07/2004,01780010,Woronichinia naegeliana,CE,1376,,"69,151",,,,,,1,,2004,7,01,,Woronichinia,naegeliana,,,,,,,
RB5,13/07/2004,05040001,Cryptomonas (small) L<20um,CE,11,,"11,037",,,,,,1,,2004,7,05,,Cryptomonas,(small),L<20um,,,,,,
RB5,13/07/2004,05040003,Cryptomonas (large) L>31um,CE,6,,"27,496",,,,,,1,,2004,7,05,,Cryptomonas,(large),L>31um,,,,,,
RB5,13/07/2004,05100010,Rhodomonas lacustris,CE,11,,"1,359",,,,,,1,,2004,7,05,,Rhodomonas,lacustris,,,,,,,
RB5,13/07/2004,06070000,Gymnodinium,CE,22,,"17,427",,,,,,1,,2004,7,06,,Gymnodinium,,,,,,,,
RB5,13/07/2004,12000001,Small centric diatom (6-10um diam.),CE,555,,"106,742",,,,,,1,,2004,7,12,,Small Centric,centric,diatom,(6-10um,diam.),,,,
RB5,13/07/2004,12000002,Medium centric diatom (11-20um diam.),CE,1220,,"2,156,626",,,,,,1,,2004,7,12,,Medium Centric,centric,diatom,(11-20um,diam.),,,,
RB5,13/07/2004,12000003,Large centric diatom (>21um diam.),CE,3,,"17,316",,,,,,1,,2004,7,12,,Large Centric,centric,diatom,(>21um,diam.),,,,
RB5,13/07/2004,12030000,Aulacoseira - thin,CE,555,,"341,575",,,,,,1,,2004,7,12,,Aulacoseira,-,thin,,,,,,
RB5,13/07/2004,17580020,Monoraphidium contortum,CE,33,,314,,,,,,1,,2004,7,17,,Monoraphidium,contortum,,,,,,,
RB5,13/07/2004,17580030,Monoraphidium convolutum,CE,22,,145,,,,,,1,,2004,7,17,,Monoraphidium,convolutum,,,,,,,
RB5,13/07/2004,17580040,Monoraphidium griffithii,CE,22,,"3,914",,,,,,1,,2004,7,17,,Monoraphidium,griffithii,,,,,,,
RB5,13/07/2004,17640000,Oocystis,CO,17,,"116,340",,,,,,4,,2004,7,17,,Oocystis,,,,,,,,
RB5,13/07/2004,17680000,Pediastrum,CO,8,,"130,935",,,,,,1,,2004,7,17,,Pediastrum,,,,,,,,
RB5,13/07/2004,17810000,Scenedesmus - small celled,CO,33,,"9,393",,,,,,4,,2004,7,17,,Scenedesmus,-,small,celled,,,,,
RB5,13/07/2004,17910020,Sphaerocystis schroeteri,CO,6,,"23,277",,,,,,8,,2004,7,17,,Sphaerocystis,schroeteri,,,,,,,
RB5,13/07/2004,17960030,Tetraedron minimum,CE,11,,"1,631",,,,,,1,,2004,7,17,,Tetraedron,minimum,,,,,,,
RB5,13/07/2004,27370000,Staurastrum,CE,3,,"31,424",,,,,,1,,2004,7,27,,Staurastrum,,,,,,,,
RB5,17/08/2004,01020040,Anabaena catenula,FI,1,,"14,448",,,,,,90,,2004,8,01,,Anabaena,catenula,,,,,,,
RB5,17/08/2004,01020140,Anabaena spiroides,FI,31,,"286,559",,,,,,51,,2004,8,01,,Anabaena,spiroides,,,,,,,
RB5,17/08/2004,01490010,Microcystis aeruginosa,CE,93738,,"6,135,129",,,,,,1,,2004,8,01,,Microcystis,aeruginosa,,,,,,,
RB5,17/08/2004,05040003,Cryptomonas (large) L>31um,CE,18,,"89,442",,,,,,1,,2004,8,05,,Cryptomonas,(large),L>31um,,,,,,
RB5,17/08/2004,05100000,Rhodomonas,CE,11,,908,,,,,,1,,2004,8,05,,Rhodomonas,,,,,,,,
RB5,17/08/2004,12000003,Large centric diatom (>21um diam.),CE,1,,"8,666",,,,,,1,,2004,8,12,,Large Centric,centric,diatom,(>21um,diam.),,,,
RB5,17/08/2004,12030000,Aulacoseira - fat,CE,6,,"6,116",,,,,,1,,2004,8,12,,Aulacoseira,-,fat,,,,,,
RB5,17/08/2004,12030000,Aulacoseira - thin,CE,89,,"54,652",,,,,,1,,2004,8,12,,Aulacoseira,-,thin,,,,,,
RB5,17/08/2004,17680030,Pediastrum boryanum,CO,6,,"98,288",,,,,,1,,2004,8,17,,Pediastrum,boryanum,,,,,,,
RB5,17/08/2004,17810000,Scenedesmus - small celled,CO,11,,"3,131",,,,,,4,,2004,8,17,,Scenedesmus,-,small,celled,,,,,
RB5,17/08/2004,27040000,Closterium,CE,1,,"4,405",,,,,,1,,2004,8,27,,Closterium,,,,,,,,
RB5,17/08/2004,27370000,Staurastrum,CE,1,,"7,863",,,,,,1,,2004,8,27,,Staurastrum,,,,,,,,
RB5,17/08/2004,27381120,Staurastrum planctonicum,CE,2,,"133,098",,,,,,1,,2004,8,27,,Staurastrum,planctonicum,,,,,,,
RB5,29/09/2004,01020040,Anabaena catenula,FI,17,,"346,454",,,,,,90,,2004,9,01,,Anabaena,catenula,,,,,,,
RB5,29/09/2004,01020140,Anabaena spiroides,FI,108,,"992,528",,,,,,51,,2004,9,01,,Anabaena,spiroides,,,,,,,
RB5,29/09/2004,01750010,Snowella lacustris,CE,4516,,"74,488",,,,,,1,,2004,9,01,,Snowella,lacustris,,,,,,,
RB5,29/09/2004,05040002,Cryptomonas (medium) L=21-30um,CE,105,,"312,579",,,,,,1,,2004,9,05,,Cryptomonas,(medium),L=21-30um,,,,,,
RB5,29/09/2004,05100000,Rhodomonas,CE,105,,"8,593",,,,,,1,,2004,9,05,,Rhodomonas,,,,,,,,
RB5,29/09/2004,12000002,Medium centric diatom (11-20um diam.),CE,8612,,"15,219,245",,,,,,1,,2004,9,12,,Medium Centric,centric,diatom,(11-20um,diam.),,,,
RB5,29/09/2004,12030000,Aulacoseira - fat,CE,210,,"230,970",,,,,,1,,2004,9,12,,Aulacoseira,-,fat,,,,,,
RB5,29/09/2004,12030000,Aulacoseira - thin,CE,5461,,"3,362,917",,,,,,1,,2004,9,12,,Aulacoseira,-,thin,,,,,,
RB5,29/09/2004,13080010,Asterionella formosa,CE,1575,,"1,273,732",,,,,,1,,2004,9,13,,Asterionella,formosa,,,,,,,
RB5,29/09/2004,13370040,Fragilaria crotonensis,CE,630,,"220,560",,,,,,1,,2004,9,13,,Fragilaria,crotonensis,,,,,,,
RB5,29/09/2004,17580020,Monoraphidium contortum,CE,1470,,"13,858",,,,,,1,,2004,9,17,,Monoraphidium,contortum,,,,,,,
RB5,29/09/2004,17580110,Monoraphidium pusillum,CE,315,,"25,077",,,,,,1,,2004,9,17,,Monoraphidium,pusillum,,,,,,,
RB5,29/09/2004,17640000,Oocystis,CO,8,,"58,170",,,,,,4,,2004,9,17,,Oocystis,,,,,,,,
RB5,29/09/2004,17680030,Pediastrum boryanum,CO,8,,"130,935",,,,,,1,,2004,9,17,,Pediastrum,boryanum,,,,,,,
RB5,29/09/2004,17810000,Scenedesmus - small celled,CO,105,,"29,641",,,,,,4,,2004,9,17,,Scenedesmus,-,small,celled,,,,,
RB5,29/09/2004,17970060,Tetrastrum triangulare,CO,105,,"4,454",,,,,,4,,2004,9,17,,Tetrastrum,triangulare,,,,,,,
RB5,29/09/2004,27370000,Staurastrum,CE,3,,"31,424",,,,,,1,,2004,9,27,,Staurastrum,,,,,,,,
RB5,29/09/2004,27381120,Staurastrum planctonicum,CE,3,,"177,308",,,,,,1,,2004,9,27,,Staurastrum,planctonicum,,,,,,,
RB5,19/10/2004,01020000,Anabaena,FI,6,,"19,477",,,,,,17,,2004,10,01,,Anabaena,,,,,,,,
RB5,19/10/2004,01020050,Anabaena circinalis,FI,47,,"17,362",,,,,,26,,2004,10,01,,Anabaena,circinalis,,,,,,,
RB5,19/10/2004,01020090,Anabaena flos-aquae,FI,3,,"6,619",,,,,,26,,2004,10,01,,Anabaena,flos-aquae,,,,,,,
RB5,19/10/2004,01530010,Oscillatoria agardhii,FI,3,,"15,985",,,,,,1,,2004,10,01,,Oscillatoria,agardhii,,,,,,,
RB5,19/10/2004,01530160,Oscillatoria limnetica,FI,175,,"158,104",,,,,,1,,2004,10,01,,Oscillatoria,limnetica,,,,,,,
RB5,19/10/2004,01750010,Snowella lacustris,CO,175,,"20,622",,,,,,12,,2004,10,01,,Snowella,lacustris,,,,,,,
RB5,19/10/2004,05100012,Rhodomonas lacustris var. nannoplanctica,CE,175,,"11,368",,,,,,1,,2004,10,05,,Rhodomonas,lacustris,var.,nannoplanctica,,,,,
RB5,19/10/2004,12000001,Small centric diatom (6-10um diam.),CE,175,,"554,327",,,,,,1,,2004,10,12,,Small Centric,centric,diatom,(6-10um,diam.),,,,
RB5,19/10/2004,12000002,Medium centric diatom (11-20um diam.),CE,27482,,"24,865,524",,,,,,1,,2004,10,12,,Medium Centric,centric,diatom,(11-20um,diam.),,,,
RB5,19/10/2004,12030000,Aulacoseira,CE,1050,,"415,745",,,,,,1,,2004,10,12,,Aulacoseira,,,,,,,,
RB5,19/10/2004,13080010,Asterionella formosa,CE,875,,"707,629",,,,,,1,,2004,10,13,,Asterionella,formosa,,,,,,,
RB5,19/10/2004,13370040,Fragilaria crotonensis,CE,350,,"204,805",,,,,,1,,2004,10,13,,Fragilaria,crotonensis,,,,,,,
RB5,19/10/2004,17580020,Monoraphidium contortum,CE,175,,"1,650",,,,,,1,,2004,10,17,,Monoraphidium,contortum,,,,,,,
RB5,19/10/2004,17580040,Monoraphidium griffithii,CE,175,,"30,876",,,,,,1,,2004,10,17,,Monoraphidium,griffithii,,,,,,,
RB5,19/10/2004,17810000,Scenedesmus - small celled,CO,175,,"49,402",,,,,,4,,2004,10,17,,Scenedesmus,-,small,celled,,,,,
RB5,19/10/2004,27040000,Closterium,CE,3,,"24,092",,,,,,1,,2004,10,27,,Closterium,,,,,,,,
RB5,15/11/2004,01020000,Anabaena,FI,39,,"115,141",,,,,,14.35714286,,2004,11,01,,Anabaena,,,,,,,,
RB5,15/11/2004,12000002,Medium centric diatom (11-20um diam.),CE,7877,,"5,988,711",,,,,,1,,2004,11,12,,Medium Centric,centric,diatom,(11-20um,diam.),,,,
RB5,15/11/2004,12030000,Aulacoseira,CE,315,,"124,724",,,,,,1,,2004,11,12,,Aulacoseira,,,,,,,,
RB5,15/11/2004,13080010,Asterionella formosa,CE,158,,"127,373",,,,,,1,,2004,11,13,,Asterionella,formosa,,,,,,,
RB5,15/11/2004,17580020,Monoraphidium contortum,CE,79,,742,,,,,,1,,2004,11,17,,Monoraphidium,contortum,,,,,,,
RB5,15/11/2004,17580040,Monoraphidium griffithii,CE,79,,"13,894",,,,,,1,,2004,11,17,,Monoraphidium,griffithii,,,,,,,
RB5,15/11/2004,17580110,Monoraphidium pusillum,CE,79,,"6,269",,,,,,1,,2004,11,17,,Monoraphidium,pusillum,,,,,,,
RB5,15/11/2004,17680030,Pediastrum boryanum,CO,6,,"69,832",,,,,,1,,2004,11,17,,Pediastrum,boryanum,,,,,,,
RB5,15/11/2004,17810000,Scenedesmus - small celled,CO,158,,"44,462",,,,,,4,,2004,11,17,,Scenedesmus,-,small,celled,,,,,
RB5,15/11/2004,27040000,Closterium,CE,3,,"24,092",,,,,,1,,2004,11,27,,Closterium,,,,,,,,
RB5,15/12/2004,01000000,Unidentified cyanophytes - colonial algae < 2 µm diameter.,CE,95,,396,,,,,,1,,2004,12,01,,cyanophytes,cyanophytes,-,colonial,algae,<,2,µm,diameter.
RB5,15/12/2004,01020000,Anabaena,FI,10,,"24,081",,,,,,12,,2004,12,01,,Anabaena,,,,,,,,
RB5,15/12/2004,01530160,Oscillatoria limnetica,FI,63,,"17,013",,,,,,1,,2004,12,01,,Oscillatoria,limnetica,,,,,,,
RB5,15/12/2004,05040001,Cryptomonas (small) L<20um,CE,32,,"37,945",,,,,,1,,2004,12,05,,Cryptomonas,(small),L<20um,,,,,,
RB5,15/12/2004,05100010,Rhodomonas lacustris,CE,221,,"27,023",,,,,,1,,2004,12,05,,Rhodomonas,lacustris,,,,,,,
RB5,15/12/2004,06070000,Gymnodinium,CE,32,,"24,747",,,,,,1,,2004,12,06,,Gymnodinium,,,,,,,,
RB5,15/12/2004,12000001,Small centric diatom (6-10um diam.),CE,1260,,"554,327",,,,,,1,,2004,12,12,,Small Centric,centric,diatom,(6-10um,diam.),,,,
RB5,15/12/2004,12030000,Aulacoseira,CE,252,,"99,779",,,,,,1,,2004,12,12,,Aulacoseira,,,,,,,,
RB5,15/12/2004,13080010,Asterionella formosa,CE,63,,"50,949",,,,,,1,,2004,12,13,,Asterionella,formosa,,,,,,,
RB5,15/12/2004,17200000,Coelastrum,CO,32,,"67,575",,,,,,8,,2004,12,17,,Coelastrum,,,,,,,,
RB5,15/12/2004,17580020,Monoraphidium contortum,CE,221,,"2,079",,,,,,1,,2004,12,17,,Monoraphidium,contortum,,,,,,,
RB5,15/12/2004,17580040,Monoraphidium griffithii,CE,95,,"16,673",,,,,,1,,2004,12,17,,Monoraphidium,griffithii,,,,,,,
RB5,15/12/2004,17680000,Pediastrum,CO,6,,"184,290",,,,,,1,,2004,12,17,,Pediastrum,,,,,,,,
RB5,15/12/2004,17810000,Scenedesmus - large celled,CO,7,,"23,298",,,,,,3.818181818,,2004,12,17,,Scenedesmus,-,large,celled,,,,,
RB5,15/12/2004,17810000,Scenedesmus - small celled,CO,347,,"93,369",,,,,,4,,2004,12,17,,Scenedesmus,-,small,celled,,,,,
RB5,15/12/2004,25010010,Elakatothrix gelatinosa,CO,32,,"3,587",,,,,,2,,2004,12,25,,Elakatothrix,gelatinosa,,,,,,,
RB5,13/01/2005,01530160,Oscillatoria limnetica,FI,16,,"1,810",,,,,,13,,2005,1,01,,Oscillatoria,limnetica,,,,,,,
RB5,13/01/2005,05100010,Rhodomonas lacustris,CE,100,,"12,234",,,,,,1,,2005,1,05,,Rhodomonas,lacustris,,,,,,,
RB5,13/01/2005,12000001,Small centric diatom (6-10um diam.),CE,252,,"48,504",,,,,,1,,2005,1,12,,Small Centric,centric,diatom,(6-10um,diam.),,,,
RB5,13/01/2005,12000002,Medium centric diatom (11-20um diam.),CE,488,,"863,043",,,,,,1,,2005,1,12,,Medium Centric,centric,diatom,(11-20um,diam.),,,,
RB5,13/01/2005,12030000,Aulacoseira - fat,CE,173,,"190,550",,,,,,1,,2005,1,12,,Aulacoseira,-,fat,,,,,,
RB5,13/01/2005,12030000,Aulacoseira - thin,CE,110,,"45,472",,,,,,1,,2005,1,12,,Aulacoseira,-,thin,,,,,,
RB5,13/01/2005,12030150,Aulacoseira subarctica,CE,425,,"261,919",,,,,,1,,2005,1,12,,Aulacoseira,subarctica,,,,,,,
RB5,13/01/2005,13080010,Asterionella formosa,CE,16,,"12,737",,,,,,1,,2005,1,13,,Asterionella,formosa,,,,,,,
RB5,13/01/2005,17170010,Closteriopsis acicularis,CE,32,,"2,578",,,,,,1,,2005,1,17,,Closteriopsis,acicularis,,,,,,,
RB5,13/01/2005,17580020,Monoraphidium contortum,CE,47,,445,,,,,,1,,2005,1,17,,Monoraphidium,contortum,,,,,,,
RB5,13/01/2005,17580110,Monoraphidium pusillum,CE,189,,"15,046",,,,,,1,,2005,1,17,,Monoraphidium,pusillum,,,,,,,
RB5,13/01/2005,17680030,Pediastrum boryanum,CO,1,,"21,842",,,,,,1,,2005,1,17,,Pediastrum,boryanum,,,,,,,
RB5,13/01/2005,17810000,Scenedesmus - large celled,CO,2,,"5,591",,,,,,4,,2005,1,17,,Scenedesmus,-,large,celled,,,,,
RB5,13/01/2005,17810000,Scenedesmus - small celled,CO,63,,"17,785",,,,,,4,,2005,1,17,,Scenedesmus,-,small,celled,,,,,
RB5,13/01/2005,27040000,Closterium,CE,1,,"8,810",,,,,,1,,2005,1,27,,Closterium,,,,,,,,
RB5,22/02/2005,01020000,Anabaena,FI,39,,"73,080",,,,,,9,,2005,2,01,,Anabaena,,,,,,,,
RB5,22/02/2005,01020140,Anabaena spiroides,FI,1,,"3,017",,,,,,14,,2005,2,01,,Anabaena,spiroides,,,,,,,
RB5,22/02/2005,05100010,Rhodomonas lacustris,CE,276,,"33,779",,,,,,1,,2005,2,05,,Rhodomonas,lacustris,,,,,,,
RB5,22/02/2005,06070000,Gymnodinium,CE,89,,"69,709",,,,,,1,,2005,2,06,,Gymnodinium,,,,,,,,
RB5,22/02/2005,06110000,Peridinium,CE,39,,"368,231",,,,,,1,,2005,2,06,,Peridinium,,,,,,,,
RB5,22/02/2005,12000001,Small centric diatom (6-10um diam.),CE,3978,,"765,448",,,,,,1,,2005,2,12,,Small Centric,centric,diatom,(6-10um,diam.),,,,
RB5,22/02/2005,12000002,Medium centric diatom (11-20um diam.),CE,197,,"348,001",,,,,,1,,2005,2,12,,Medium Centric,centric,diatom,(11-20um,diam.),,,,
RB5,22/02/2005,12030000,Aulacoseira - fat,CE,630,,"692,909",,,,,,1,,2005,2,12,,Aulacoseira,-,fat,,,,,,
RB5,22/02/2005,12030000,Aulacoseira - thin,CE,1536,,"633,362",,,,,,1,,2005,2,12,,Aulacoseira,-,thin,,,,,,
RB5,22/02/2005,16180000,Chlamydomonas,CE,39,,"11,878",,,,,,1,,2005,2,16,,Chlamydomonas,,,,,,,,
