"","YearMonth","year","month","Cryto.Biovolume","Cyano.Biovolume","Diatoms.Biovolume","Greens.Biovolume"
"56",2008-12-01,2008,12,246962.6026,273467.3114,10001198.98,1053088.238
"57",2009-01-01,2009,1,82395.57921,217075.7702,14353529.4,703294.6162
"58",2009-02-01,2009,2,213550.8458,33275.80111,8115144.702,299866.5401
"59",2009-03-01,2009,3,646100.4475,273233.5483,4385826.468,1624971.649
"60",2009-04-01,2009,4,503524.0469,3947071.92,796023.1304,307508.8493
"61",2009-05-01,2009,5,1262555.86,131859.3865,1407300.819,1905505.7
"62",2009-06-01,2009,6,2343039.553,184212.7365,233637.1306,1224580.413
"63",2009-07-01,2009,7,4644386.163,1884501.812,3137356.677,1909991.608
"64",2009-07-01,2009,7,4644386.163,1884501.812,3137356.677,2494182.375
"65",2009-07-01,2009,7,4644386.163,1884501.812,15067930.01,1909991.608
"66",2009-07-01,2009,7,4644386.163,1884501.812,15067930.01,2494182.375
"67",2009-07-01,2009,7,4644386.163,2294613.671,3137356.677,1909991.608
"68",2009-07-01,2009,7,4644386.163,2294613.671,3137356.677,2494182.375
"69",2009-07-01,2009,7,4644386.163,2294613.671,15067930.01,1909991.608
"70",2009-07-01,2009,7,4644386.163,2294613.671,15067930.01,2494182.375
"71",2009-07-01,2009,7,281346.1084,1884501.812,3137356.677,1909991.608
"72",2009-07-01,2009,7,281346.1084,1884501.812,3137356.677,2494182.375
"73",2009-07-01,2009,7,281346.1084,1884501.812,15067930.01,1909991.608
"74",2009-07-01,2009,7,281346.1084,1884501.812,15067930.01,2494182.375
"75",2009-07-01,2009,7,281346.1084,2294613.671,3137356.677,1909991.608
"76",2009-07-01,2009,7,281346.1084,2294613.671,3137356.677,2494182.375
"77",2009-07-01,2009,7,281346.1084,2294613.671,15067930.01,1909991.608
"78",2009-07-01,2009,7,281346.1084,2294613.671,15067930.01,2494182.375
"79",2009-08-01,2009,8,1014370.31,6897856.922,1567405.426,1047726.038
"80",2009-08-01,2009,8,1014370.31,6897856.922,1567405.426,1165579.456
"81",2009-08-01,2009,8,1014370.31,6897856.922,4382636.627,1047726.038
"82",2009-08-01,2009,8,1014370.31,6897856.922,4382636.627,1165579.456
"83",2009-08-01,2009,8,1014370.31,6863932.486,1567405.426,1047726.038
"84",2009-08-01,2009,8,1014370.31,6863932.486,1567405.426,1165579.456
"85",2009-08-01,2009,8,1014370.31,6863932.486,4382636.627,1047726.038
"86",2009-08-01,2009,8,1014370.31,6863932.486,4382636.627,1165579.456
"87",2009-08-01,2009,8,2270583.521,6897856.922,1567405.426,1047726.038
"88",2009-08-01,2009,8,2270583.521,6897856.922,1567405.426,1165579.456
"89",2009-08-01,2009,8,2270583.521,6897856.922,4382636.627,1047726.038
"90",2009-08-01,2009,8,2270583.521,6897856.922,4382636.627,1165579.456
"91",2009-08-01,2009,8,2270583.521,6863932.486,1567405.426,1047726.038
"92",2009-08-01,2009,8,2270583.521,6863932.486,1567405.426,1165579.456
"93",2009-08-01,2009,8,2270583.521,6863932.486,4382636.627,1047726.038
"94",2009-08-01,2009,8,2270583.521,6863932.486,4382636.627,1165579.456
"95",2009-09-01,2009,9,114619.0149,7210127.959,14708451.53,436362.5562
"96",2009-09-01,2009,9,114619.0149,7210127.959,14708451.53,962029.8981
"97",2009-09-01,2009,9,114619.0149,7210127.959,14708451.53,966343.3841
"98",2009-09-01,2009,9,114619.0149,7210127.959,5415331.895,436362.5562
"99",2009-09-01,2009,9,114619.0149,7210127.959,5415331.895,962029.8981
"100",2009-09-01,2009,9,114619.0149,7210127.959,5415331.895,966343.3841
"101",2009-09-01,2009,9,114619.0149,7210127.959,294311.9752,436362.5562
"102",2009-09-01,2009,9,114619.0149,7210127.959,294311.9752,962029.8981
"103",2009-09-01,2009,9,114619.0149,7210127.959,294311.9752,966343.3841
"104",2009-09-01,2009,9,114619.0149,2136010.179,14708451.53,436362.5562
"105",2009-09-01,2009,9,114619.0149,2136010.179,14708451.53,962029.8981
"106",2009-09-01,2009,9,114619.0149,2136010.179,14708451.53,966343.3841
"107",2009-09-01,2009,9,114619.0149,2136010.179,5415331.895,436362.5562
"108",2009-09-01,2009,9,114619.0149,2136010.179,5415331.895,962029.8981
"109",2009-09-01,2009,9,114619.0149,2136010.179,5415331.895,966343.3841
"110",2009-09-01,2009,9,114619.0149,2136010.179,294311.9752,436362.5562
"111",2009-09-01,2009,9,114619.0149,2136010.179,294311.9752,962029.8981
"112",2009-09-01,2009,9,114619.0149,2136010.179,294311.9752,966343.3841
"113",2009-09-01,2009,9,114619.0149,1539757.185,14708451.53,436362.5562
"114",2009-09-01,2009,9,114619.0149,1539757.185,14708451.53,962029.8981
"115",2009-09-01,2009,9,114619.0149,1539757.185,14708451.53,966343.3841
"116",2009-09-01,2009,9,114619.0149,1539757.185,5415331.895,436362.5562
"117",2009-09-01,2009,9,114619.0149,1539757.185,5415331.895,962029.8981
"118",2009-09-01,2009,9,114619.0149,1539757.185,5415331.895,966343.3841
"119",2009-09-01,2009,9,114619.0149,1539757.185,294311.9752,436362.5562
"120",2009-09-01,2009,9,114619.0149,1539757.185,294311.9752,962029.8981
"121",2009-09-01,2009,9,114619.0149,1539757.185,294311.9752,966343.3841
"122",2009-09-01,2009,9,1067606.524,7210127.959,14708451.53,436362.5562
"123",2009-09-01,2009,9,1067606.524,7210127.959,14708451.53,962029.8981
"124",2009-09-01,2009,9,1067606.524,7210127.959,14708451.53,966343.3841
"125",2009-09-01,2009,9,1067606.524,7210127.959,5415331.895,436362.5562
"126",2009-09-01,2009,9,1067606.524,7210127.959,5415331.895,962029.8981
"127",2009-09-01,2009,9,1067606.524,7210127.959,5415331.895,966343.3841
"128",2009-09-01,2009,9,1067606.524,7210127.959,294311.9752,436362.5562
"129",2009-09-01,2009,9,1067606.524,7210127.959,294311.9752,962029.8981
"130",2009-09-01,2009,9,1067606.524,7210127.959,294311.9752,966343.3841
"131",2009-09-01,2009,9,1067606.524,2136010.179,14708451.53,436362.5562
"132",2009-09-01,2009,9,1067606.524,2136010.179,14708451.53,962029.8981
"133",2009-09-01,2009,9,1067606.524,2136010.179,14708451.53,966343.3841
"134",2009-09-01,2009,9,1067606.524,2136010.179,5415331.895,436362.5562
"135",2009-09-01,2009,9,1067606.524,2136010.179,5415331.895,962029.8981
"136",2009-09-01,2009,9,1067606.524,2136010.179,5415331.895,966343.3841
"137",2009-09-01,2009,9,1067606.524,2136010.179,294311.9752,436362.5562
"138",2009-09-01,2009,9,1067606.524,2136010.179,294311.9752,962029.8981
"139",2009-09-01,2009,9,1067606.524,2136010.179,294311.9752,966343.3841
"140",2009-09-01,2009,9,1067606.524,1539757.185,14708451.53,436362.5562
"141",2009-09-01,2009,9,1067606.524,1539757.185,14708451.53,962029.8981
"142",2009-09-01,2009,9,1067606.524,1539757.185,14708451.53,966343.3841
"143",2009-09-01,2009,9,1067606.524,1539757.185,5415331.895,436362.5562
"144",2009-09-01,2009,9,1067606.524,1539757.185,5415331.895,962029.8981
"145",2009-09-01,2009,9,1067606.524,1539757.185,5415331.895,966343.3841
"146",2009-09-01,2009,9,1067606.524,1539757.185,294311.9752,436362.5562
"147",2009-09-01,2009,9,1067606.524,1539757.185,294311.9752,962029.8981
"148",2009-09-01,2009,9,1067606.524,1539757.185,294311.9752,966343.3841
"149",2009-09-01,2009,9,979385.1179,7210127.959,14708451.53,436362.5562
"150",2009-09-01,2009,9,979385.1179,7210127.959,14708451.53,962029.8981
"151",2009-09-01,2009,9,979385.1179,7210127.959,14708451.53,966343.3841
"152",2009-09-01,2009,9,979385.1179,7210127.959,5415331.895,436362.5562
"153",2009-09-01,2009,9,979385.1179,7210127.959,5415331.895,962029.8981
"154",2009-09-01,2009,9,979385.1179,7210127.959,5415331.895,966343.3841
"155",2009-09-01,2009,9,979385.1179,7210127.959,294311.9752,436362.5562
"156",2009-09-01,2009,9,979385.1179,7210127.959,294311.9752,962029.8981
"157",2009-09-01,2009,9,979385.1179,7210127.959,294311.9752,966343.3841
"158",2009-09-01,2009,9,979385.1179,2136010.179,14708451.53,436362.5562
"159",2009-09-01,2009,9,979385.1179,2136010.179,14708451.53,962029.8981
"160",2009-09-01,2009,9,979385.1179,2136010.179,14708451.53,966343.3841
"161",2009-09-01,2009,9,979385.1179,2136010.179,5415331.895,436362.5562
"162",2009-09-01,2009,9,979385.1179,2136010.179,5415331.895,962029.8981
"163",2009-09-01,2009,9,979385.1179,2136010.179,5415331.895,966343.3841
"164",2009-09-01,2009,9,979385.1179,2136010.179,294311.9752,436362.5562
"165",2009-09-01,2009,9,979385.1179,2136010.179,294311.9752,962029.8981
"166",2009-09-01,2009,9,979385.1179,2136010.179,294311.9752,966343.3841
"167",2009-09-01,2009,9,979385.1179,1539757.185,14708451.53,436362.5562
"168",2009-09-01,2009,9,979385.1179,1539757.185,14708451.53,962029.8981
"169",2009-09-01,2009,9,979385.1179,1539757.185,14708451.53,966343.3841
"170",2009-09-01,2009,9,979385.1179,1539757.185,5415331.895,436362.5562
"171",2009-09-01,2009,9,979385.1179,1539757.185,5415331.895,962029.8981
"172",2009-09-01,2009,9,979385.1179,1539757.185,5415331.895,966343.3841
"173",2009-09-01,2009,9,979385.1179,1539757.185,294311.9752,436362.5562
"174",2009-09-01,2009,9,979385.1179,1539757.185,294311.9752,962029.8981
"175",2009-09-01,2009,9,979385.1179,1539757.185,294311.9752,966343.3841
"176",2009-10-01,2009,10,404522.4597,100141.1503,393666.7535,140646.4214
"177",2009-11-01,2009,11,398121.5327,123313.4883,130535.6799,47476.43939
"178",2009-12-01,2009,12,11914.40306,29062.86268,283572.683,80909.42516
"179",2010-03-01,2010,3,18506.83672,6490.893912,13130532.14,53526.42967
"180",2010-04-01,2010,4,79687.40638,75501.9387,6327463.117,315026.5652
"181",2010-05-01,2010,5,227742.1002,34910.4315,1368597.513,236442.9704
"182",2010-06-01,2010,6,412770.8008,84534.40502,30651.63194,258290.6496
"183",2010-07-01,2010,7,149088.0441,524613.6787,8163917.58,228377.8449
"184",2010-08-01,2010,8,78058.33625,161682.5432,3597306.29,204017.4787
"185",2010-09-01,2010,9,70433.98802,147900.9886,2257117.101,183440.1196
"186",2010-10-01,2010,10,114046.0638,41421.5193,1181247.09,22863.78918
"187",2010-11-01,2010,11,202048.5457,28435.01361,8960685.051,187072.1446
"188",2010-12-01,2010,12,31466.69975,22561.53588,5718607.356,56995.36628
"189",2011-01-01,2011,1,39644.2768,10180.42745,1768263.646,257397.2108
"190",2011-01-01,2011,1,39644.2768,10180.42745,1768263.646,184847.3356
"191",2011-01-01,2011,1,39644.2768,10180.42745,2436910.187,257397.2108
"192",2011-01-01,2011,1,39644.2768,10180.42745,2436910.187,184847.3356
"193",2011-01-01,2011,1,39644.2768,7548.260735,1768263.646,257397.2108
"194",2011-01-01,2011,1,39644.2768,7548.260735,1768263.646,184847.3356
"195",2011-01-01,2011,1,39644.2768,7548.260735,2436910.187,257397.2108
"196",2011-01-01,2011,1,39644.2768,7548.260735,2436910.187,184847.3356
"197",2011-01-01,2011,1,37955.42536,10180.42745,1768263.646,257397.2108
"198",2011-01-01,2011,1,37955.42536,10180.42745,1768263.646,184847.3356
"199",2011-01-01,2011,1,37955.42536,10180.42745,2436910.187,257397.2108
"200",2011-01-01,2011,1,37955.42536,10180.42745,2436910.187,184847.3356
"201",2011-01-01,2011,1,37955.42536,7548.260735,1768263.646,257397.2108
"202",2011-01-01,2011,1,37955.42536,7548.260735,1768263.646,184847.3356
"203",2011-01-01,2011,1,37955.42536,7548.260735,2436910.187,257397.2108
"204",2011-01-01,2011,1,37955.42536,7548.260735,2436910.187,184847.3356
"205",2011-02-01,2011,2,19542.02951,61147.37066,3491778.882,444841.3964
"206",2011-02-01,2011,2,19542.02951,61147.37066,3491778.882,73267.53301
"207",2011-02-01,2011,2,19542.02951,61147.37066,10446032.89,444841.3964
"208",2011-02-01,2011,2,19542.02951,61147.37066,10446032.89,73267.53301
"209",2011-02-01,2011,2,19542.02951,10919.93117,3491778.882,444841.3964
"210",2011-02-01,2011,2,19542.02951,10919.93117,3491778.882,73267.53301
"211",2011-02-01,2011,2,19542.02951,10919.93117,10446032.89,444841.3964
"212",2011-02-01,2011,2,19542.02951,10919.93117,10446032.89,73267.53301
"213",2011-02-01,2011,2,113633.7185,61147.37066,3491778.882,444841.3964
"214",2011-02-01,2011,2,113633.7185,61147.37066,3491778.882,73267.53301
"215",2011-02-01,2011,2,113633.7185,61147.37066,10446032.89,444841.3964
"216",2011-02-01,2011,2,113633.7185,61147.37066,10446032.89,73267.53301
"217",2011-02-01,2011,2,113633.7185,10919.93117,3491778.882,444841.3964
"218",2011-02-01,2011,2,113633.7185,10919.93117,3491778.882,73267.53301
"219",2011-02-01,2011,2,113633.7185,10919.93117,10446032.89,444841.3964
"220",2011-02-01,2011,2,113633.7185,10919.93117,10446032.89,73267.53301
"221",2011-03-01,2011,3,37274.42692,30041.37082,5901387.872,182887.6999
"222",2011-04-01,2011,4,373480.446,90224.50647,3157074.401,664167.9699
"223",2011-04-01,2011,4,373480.446,90224.50647,3157074.401,227844.368
"224",2011-04-01,2011,4,373480.446,90224.50647,4212660.236,664167.9699
"225",2011-04-01,2011,4,373480.446,90224.50647,4212660.236,227844.368
"226",2011-04-01,2011,4,373480.446,6796.843602,3157074.401,664167.9699
"227",2011-04-01,2011,4,373480.446,6796.843602,3157074.401,227844.368
"228",2011-04-01,2011,4,373480.446,6796.843602,4212660.236,664167.9699
"229",2011-04-01,2011,4,373480.446,6796.843602,4212660.236,227844.368
"230",2011-04-01,2011,4,447143.653,90224.50647,3157074.401,664167.9699
"231",2011-04-01,2011,4,447143.653,90224.50647,3157074.401,227844.368
"232",2011-04-01,2011,4,447143.653,90224.50647,4212660.236,664167.9699
"233",2011-04-01,2011,4,447143.653,90224.50647,4212660.236,227844.368
"234",2011-04-01,2011,4,447143.653,6796.843602,3157074.401,664167.9699
"235",2011-04-01,2011,4,447143.653,6796.843602,3157074.401,227844.368
"236",2011-04-01,2011,4,447143.653,6796.843602,4212660.236,664167.9699
"237",2011-04-01,2011,4,447143.653,6796.843602,4212660.236,227844.368
"238",2011-05-01,2011,5,185338.5829,53030.2724,254422.966,151906.9023
"239",2011-05-01,2011,5,185338.5829,53030.2724,254422.966,188135.9459
"240",2011-05-01,2011,5,185338.5829,53030.2724,254422.966,690850.9601
"241",2011-05-01,2011,5,185338.5829,53030.2724,46956.84801,151906.9023
"242",2011-05-01,2011,5,185338.5829,53030.2724,46956.84801,188135.9459
"243",2011-05-01,2011,5,185338.5829,53030.2724,46956.84801,690850.9601
"244",2011-05-01,2011,5,185338.5829,53030.2724,2927827.606,151906.9023
"245",2011-05-01,2011,5,185338.5829,53030.2724,2927827.606,188135.9459
"246",2011-05-01,2011,5,185338.5829,53030.2724,2927827.606,690850.9601
"247",2011-05-01,2011,5,185338.5829,12941.82854,254422.966,151906.9023
"248",2011-05-01,2011,5,185338.5829,12941.82854,254422.966,188135.9459
"249",2011-05-01,2011,5,185338.5829,12941.82854,254422.966,690850.9601
"250",2011-05-01,2011,5,185338.5829,12941.82854,46956.84801,151906.9023
"251",2011-05-01,2011,5,185338.5829,12941.82854,46956.84801,188135.9459
"252",2011-05-01,2011,5,185338.5829,12941.82854,46956.84801,690850.9601
"253",2011-05-01,2011,5,185338.5829,12941.82854,2927827.606,151906.9023
"254",2011-05-01,2011,5,185338.5829,12941.82854,2927827.606,188135.9459
"255",2011-05-01,2011,5,185338.5829,12941.82854,2927827.606,690850.9601
"256",2011-05-01,2011,5,185338.5829,50077.5554,254422.966,151906.9023
"257",2011-05-01,2011,5,185338.5829,50077.5554,254422.966,188135.9459
"258",2011-05-01,2011,5,185338.5829,50077.5554,254422.966,690850.9601
"259",2011-05-01,2011,5,185338.5829,50077.5554,46956.84801,151906.9023
"260",2011-05-01,2011,5,185338.5829,50077.5554,46956.84801,188135.9459
"261",2011-05-01,2011,5,185338.5829,50077.5554,46956.84801,690850.9601
"262",2011-05-01,2011,5,185338.5829,50077.5554,2927827.606,151906.9023
"263",2011-05-01,2011,5,185338.5829,50077.5554,2927827.606,188135.9459
"264",2011-05-01,2011,5,185338.5829,50077.5554,2927827.606,690850.9601
"265",2011-05-01,2011,5,471371.4362,53030.2724,254422.966,151906.9023
"266",2011-05-01,2011,5,471371.4362,53030.2724,254422.966,188135.9459
"267",2011-05-01,2011,5,471371.4362,53030.2724,254422.966,690850.9601
"268",2011-05-01,2011,5,471371.4362,53030.2724,46956.84801,151906.9023
"269",2011-05-01,2011,5,471371.4362,53030.2724,46956.84801,188135.9459
"270",2011-05-01,2011,5,471371.4362,53030.2724,46956.84801,690850.9601
"271",2011-05-01,2011,5,471371.4362,53030.2724,2927827.606,151906.9023
"272",2011-05-01,2011,5,471371.4362,53030.2724,2927827.606,188135.9459
"273",2011-05-01,2011,5,471371.4362,53030.2724,2927827.606,690850.9601
"274",2011-05-01,2011,5,471371.4362,12941.82854,254422.966,151906.9023
"275",2011-05-01,2011,5,471371.4362,12941.82854,254422.966,188135.9459
"276",2011-05-01,2011,5,471371.4362,12941.82854,254422.966,690850.9601
"277",2011-05-01,2011,5,471371.4362,12941.82854,46956.84801,151906.9023
"278",2011-05-01,2011,5,471371.4362,12941.82854,46956.84801,188135.9459
"279",2011-05-01,2011,5,471371.4362,12941.82854,46956.84801,690850.9601
"280",2011-05-01,2011,5,471371.4362,12941.82854,2927827.606,151906.9023
"281",2011-05-01,2011,5,471371.4362,12941.82854,2927827.606,188135.9459
"282",2011-05-01,2011,5,471371.4362,12941.82854,2927827.606,690850.9601
"283",2011-05-01,2011,5,471371.4362,50077.5554,254422.966,151906.9023
"284",2011-05-01,2011,5,471371.4362,50077.5554,254422.966,188135.9459
"285",2011-05-01,2011,5,471371.4362,50077.5554,254422.966,690850.9601
"286",2011-05-01,2011,5,471371.4362,50077.5554,46956.84801,151906.9023
"287",2011-05-01,2011,5,471371.4362,50077.5554,46956.84801,188135.9459
"288",2011-05-01,2011,5,471371.4362,50077.5554,46956.84801,690850.9601
"289",2011-05-01,2011,5,471371.4362,50077.5554,2927827.606,151906.9023
"290",2011-05-01,2011,5,471371.4362,50077.5554,2927827.606,188135.9459
"291",2011-05-01,2011,5,471371.4362,50077.5554,2927827.606,690850.9601
"292",2011-05-01,2011,5,657514.6802,53030.2724,254422.966,151906.9023
"293",2011-05-01,2011,5,657514.6802,53030.2724,254422.966,188135.9459
"294",2011-05-01,2011,5,657514.6802,53030.2724,254422.966,690850.9601
"295",2011-05-01,2011,5,657514.6802,53030.2724,46956.84801,151906.9023
"296",2011-05-01,2011,5,657514.6802,53030.2724,46956.84801,188135.9459
"297",2011-05-01,2011,5,657514.6802,53030.2724,46956.84801,690850.9601
"298",2011-05-01,2011,5,657514.6802,53030.2724,2927827.606,151906.9023
"299",2011-05-01,2011,5,657514.6802,53030.2724,2927827.606,188135.9459
"300",2011-05-01,2011,5,657514.6802,53030.2724,2927827.606,690850.9601
"301",2011-05-01,2011,5,657514.6802,12941.82854,254422.966,151906.9023
"302",2011-05-01,2011,5,657514.6802,12941.82854,254422.966,188135.9459
"303",2011-05-01,2011,5,657514.6802,12941.82854,254422.966,690850.9601
"304",2011-05-01,2011,5,657514.6802,12941.82854,46956.84801,151906.9023
"305",2011-05-01,2011,5,657514.6802,12941.82854,46956.84801,188135.9459
"306",2011-05-01,2011,5,657514.6802,12941.82854,46956.84801,690850.9601
"307",2011-05-01,2011,5,657514.6802,12941.82854,2927827.606,151906.9023
"308",2011-05-01,2011,5,657514.6802,12941.82854,2927827.606,188135.9459
"309",2011-05-01,2011,5,657514.6802,12941.82854,2927827.606,690850.9601
"310",2011-05-01,2011,5,657514.6802,50077.5554,254422.966,151906.9023
"311",2011-05-01,2011,5,657514.6802,50077.5554,254422.966,188135.9459
"312",2011-05-01,2011,5,657514.6802,50077.5554,254422.966,690850.9601
"313",2011-05-01,2011,5,657514.6802,50077.5554,46956.84801,151906.9023
"314",2011-05-01,2011,5,657514.6802,50077.5554,46956.84801,188135.9459
"315",2011-05-01,2011,5,657514.6802,50077.5554,46956.84801,690850.9601
"316",2011-05-01,2011,5,657514.6802,50077.5554,2927827.606,151906.9023
"317",2011-05-01,2011,5,657514.6802,50077.5554,2927827.606,188135.9459
"318",2011-05-01,2011,5,657514.6802,50077.5554,2927827.606,690850.9601
"319",2011-06-01,2011,6,297101.6803,17034.58211,153858.7693,469891.4393
"320",2011-06-01,2011,6,297101.6803,17034.58211,153858.7693,239898.5757
"321",2011-06-01,2011,6,297101.6803,17034.58211,506114.3476,469891.4393
"322",2011-06-01,2011,6,297101.6803,17034.58211,506114.3476,239898.5757
"323",2011-06-01,2011,6,297101.6803,40633.85203,153858.7693,469891.4393
"324",2011-06-01,2011,6,297101.6803,40633.85203,153858.7693,239898.5757
"325",2011-06-01,2011,6,297101.6803,40633.85203,506114.3476,469891.4393
"326",2011-06-01,2011,6,297101.6803,40633.85203,506114.3476,239898.5757
"327",2011-06-01,2011,6,523768.5176,17034.58211,153858.7693,469891.4393
"328",2011-06-01,2011,6,523768.5176,17034.58211,153858.7693,239898.5757
"329",2011-06-01,2011,6,523768.5176,17034.58211,506114.3476,469891.4393
"330",2011-06-01,2011,6,523768.5176,17034.58211,506114.3476,239898.5757
"331",2011-06-01,2011,6,523768.5176,40633.85203,153858.7693,469891.4393
"332",2011-06-01,2011,6,523768.5176,40633.85203,153858.7693,239898.5757
"333",2011-06-01,2011,6,523768.5176,40633.85203,506114.3476,469891.4393
"334",2011-06-01,2011,6,523768.5176,40633.85203,506114.3476,239898.5757
"335",2011-07-01,2011,7,20025.49401,679955.0204,17308364.81,399996.5649
"336",2011-08-01,2011,8,449210.9372,902745.5466,2257420.001,824614.0225
"337",2011-08-01,2011,8,449210.9372,902745.5466,2257420.001,657346.5398
"338",2011-08-01,2011,8,449210.9372,902745.5466,9216096.652,824614.0225
"339",2011-08-01,2011,8,449210.9372,902745.5466,9216096.652,657346.5398
"340",2011-08-01,2011,8,449210.9372,560370.3883,2257420.001,824614.0225
"341",2011-08-01,2011,8,449210.9372,560370.3883,2257420.001,657346.5398
"342",2011-08-01,2011,8,449210.9372,560370.3883,9216096.652,824614.0225
"343",2011-08-01,2011,8,449210.9372,560370.3883,9216096.652,657346.5398
"344",2011-08-01,2011,8,485878.2652,902745.5466,2257420.001,824614.0225
"345",2011-08-01,2011,8,485878.2652,902745.5466,2257420.001,657346.5398
"346",2011-08-01,2011,8,485878.2652,902745.5466,9216096.652,824614.0225
"347",2011-08-01,2011,8,485878.2652,902745.5466,9216096.652,657346.5398
"348",2011-08-01,2011,8,485878.2652,560370.3883,2257420.001,824614.0225
"349",2011-08-01,2011,8,485878.2652,560370.3883,2257420.001,657346.5398
"350",2011-08-01,2011,8,485878.2652,560370.3883,9216096.652,824614.0225
"351",2011-08-01,2011,8,485878.2652,560370.3883,9216096.652,657346.5398
"352",2011-09-01,2011,9,210644.5584,118533.2377,1036282.862,153073.3901
"353",2011-09-01,2011,9,210644.5584,118533.2377,1036282.862,421739.9161
"354",2011-09-01,2011,9,210644.5584,118533.2377,1592624.358,153073.3901
"355",2011-09-01,2011,9,210644.5584,118533.2377,1592624.358,421739.9161
"356",2011-09-01,2011,9,210644.5584,47665.02443,1036282.862,153073.3901
"357",2011-09-01,2011,9,210644.5584,47665.02443,1036282.862,421739.9161
