"","YearMonth","Year","Month","Season","Cryto.Biovolume","Cyano.Biovolume","Diatoms.Biovolume","Greens.Biovolume","waterlevel.masl","Daphnia","RB5.ChlA","RB5.DO","RB5.NO3","RB5.pH","RB5.SD","RB5.SRP","RB5.SRSi","RB5.Temp","RB5.TON","RB5.TP"
"19",2005-09-01,2005,9,"Autumn",564225.6744,1093469.846,6233946.747,190904.7985,106.9,0.9,45.65,107.15,0.21,8.51,1.07,16.55,9.125,15.1,NA,106.65
"20",2005-10-01,2005,10,"Autumn",427443.6928,151180.085,17522671.74,196042.9252,106.7,1,80.3,96.4,0.135,8.275,0.85,4.3,4.835,11.25,NA,105.25
"21",2005-11-01,2005,11,"Autumn",5369.158791,18366.9985,1992608.81,272871.7881,107.056666666667,3,46.6333333333333,92.2333333333333,0.566666666666667,8.08333333333333,1.43666666666667,7.83333333333333,3.53666666666667,6.6,NA,63.9666666666667
"22",2005-12-01,2005,12,"Winter",27813.79557,23836.01352,1437637.208,89079.30449,106.91,2.1,10.3,NA,0.7,8.23,2.03,8.8,4.82,4.2,NA,38.8
"23",2006-02-01,2006,2,"Winter",25777.85428,984890.8363,36394482.16,126053.3538,106.71,1.35,20.55,93.75,1.885,8.36,1.525,4.25,0.21,3.7,NA,39.85
"24",2006-03-01,2006,3,"Spring",288924.1313,30653.30956,15579461.02,604587.3968,106.88,2.55,16.7,97.45,2.19,8.35,0.985,5.35,0.345,2.9,NA,41.55
"25",2006-04-01,2006,4,"Spring",36800.98654,59165.25758,23727835.23,138937.5041,107.465,1.7,28.75,96,2.01,8.6,1.11,6.4,0.115,7.05,NA,47.4
"26",2006-05-01,2006,5,"Spring",267360.7808,3382.18007,69614.47029,33430.42526,107.276666666667,18.5666666666667,10.5,89.7,1.30333333333333,8.26666666666667,2.96666666666667,7.26666666666667,0.466666666666667,11.8666666666667,NA,30.5666666666667
"27",2006-06-01,2006,6,"Summer",1345624.07,59172.34664,104353.5948,66506.69276,107.09,7.65,10.3,99.45,0.655,8.705,1.87,7.8,1.29,17.3,NA,32.2
"28",2006-07-01,2006,7,"Summer",183128.8471,73866.81272,13230395.92,735137.7281,106.95,4,65,90.9,0.085,9.4,0.8,16.6,1.275,19.85,NA,86.1
"29",2006-08-01,2006,8,"Summer",4930559.42,5084732.249,2275556.681,338970.8112,106.825,0.75,55.25,77.3,0.01,9.045,1.145,41.75,3.895,18.1,NA,119.1
"30",2006-09-01,2006,9,"Autumn",38273.02601,1785052.862,9298186.574,511886.5645,106.81,1.05,51.9,82.95,0.025,8.01,0.98,9.1,3.925,15.6,NA,79.85
"31",2006-10-01,2006,10,"Autumn",340979.3546,677438.3337,86244010.68,287055.4871,107.013333333333,0.233333333333333,76.7333333333333,96.5333333333333,0.0966666666666667,8.41666666666667,1.06,6.03333333333333,0.626666666666667,12.5333333333333,NA,68.2
"32",2006-12-01,2006,12,"Winter",39338.23098,3145.216748,3086056.577,15947.77816,107.77,1.55,22.4,87.8,1.47,8.435,0.91,9.45,3.43,4.95,NA,47.1
"33",2007-01-01,2007,1,"Winter",8729.670421,3679.867468,8257562.178,124520.1769,107.305,2.45,29.6,NA,2.305,NA,NA,10.655,3.615,NA,NA,34.255
"34",2007-02-01,2007,2,"Winter",40631.99683,5299.712765,28081167.44,170322.4611,107.225,1.7,30.4,NA,2.08,NA,NA,4.4,0.14,NA,NA,21.695
"35",2007-03-01,2007,3,"Spring",346712.4191,NA,8221452.562,17597.9791,107.465,2.7,19.3,NA,1.79,NA,NA,3.15,0.265,NA,NA,37.11
"36",2007-04-01,2007,4,"Spring",67215.36681,8233.868511,4500206.028,156727.34,107.28,6.05,6.24,NA,1.6,NA,NA,3.9,0.53,NA,NA,21.805
"37",2007-05-01,2007,5,"Spring",1462498.405,25123.7119,961636.6951,1198877.129,107.055,27.8333333333333,9.26666666666667,NA,0.943333333333333,NA,NA,4.81,0.973333333333333,NA,NA,18.34
"38",2007-06-01,2007,6,"Summer",401001.8623,108331.6252,294954.9963,107749.8722,107.13,3,15.35,NA,0.355,NA,NA,2.73,1.965,NA,NA,22.49
"39",2007-07-01,2007,7,"Summer",229779.1436,1652186.452,4502499.784,830980.8303,107.27,4,40.2,NA,0.145,NA,NA,2.34,1.82,NA,NA,33.345
"40",2007-08-01,2007,8,"Summer",570804.1463,2324147.624,950020.7297,451971.3063,107.31,6.15,23.9,NA,0.075,NA,NA,3.905,3.06,NA,NA,40.88
"41",2007-09-01,2007,9,"Autumn",87615.97437,1958947.691,553244.6913,81689.84854,107.175,37,37,NA,0.015,NA,NA,5.465,7.49,NA,NA,47.385
"42",2007-10-01,2007,10,"Autumn",135270.4096,98400.92514,708995.1675,73380.96045,106.77,0.0666666666666667,27.0666666666667,NA,0.0966666666666667,NA,NA,5.5,6.35,NA,NA,34.4833333333333
"43",2007-11-01,2007,11,"Autumn",617535.045,25840.02239,2866609.722,211178.5061,106.71,0.4,24,NA,0.49,NA,NA,11.03,10.19,NA,NA,34.825
"44",2007-12-01,2007,12,"Winter",410744.4728,NA,7184819.326,32497.7856,106.82,0.3,27.8,NA,0.99,NA,NA,15.72,9.72,NA,NA,43.39
"45",2008-01-01,2008,1,"Winter",265770.0324,25529.35046,1725129.724,131306.0221,107.2100025,0.175,16.97,NA,NA,NA,NA,13.805,8.37,NA,NA,37.375
"46",2008-02-01,2008,2,"Winter",541275.0419,1933.651507,8841984.546,2266376.884,107.69326125,0.025,29.2,NA,NA,NA,NA,7.405,6.335,NA,NA,35.035
"47",2008-03-01,2008,3,"Spring",1239854.862,48768.36007,33340845.08,7147581.821,107.51978375,0,40.72,NA,NA,NA,NA,2.34,0.86,NA,NA,31.655
"48",2008-04-01,2008,4,"Spring",163867.0957,120295.7953,1726592.513,221879.3542,107.263863133333,1.625,17.315,NA,NA,NA,NA,4.04666666666667,0.395,NA,NA,25.115
"49",2008-05-01,2008,5,"Spring",494654.1424,109473.7068,330663.6742,237008.231,107.234785,33.85,9.425,NA,NA,NA,NA,39.1,1.255,NA,NA,22.66
"50",2008-06-01,2008,6,"Summer",1632599.609,NA,122312.2207,133545.6392,107.0414815,4.25,5.255,NA,NA,NA,NA,5.79,2.03,NA,NA,24.275
"51",2008-07-01,2008,7,"Summer",2386841.044,468598.915,1822249.181,674560.0784,106.9522645,3.525,8.455,NA,NA,NA,NA,7.755,2.24,NA,NA,33.23
"52",2008-08-01,2008,8,"Summer",951975.2955,79924.16083,6833416.741,949509.3093,107.18522,53.325,28.17,NA,NA,NA,NA,6.215,0.605,NA,NA,42.775
"53",2008-09-01,2008,9,"Autumn",767286.1961,1578901.982,4236180.995,946798.7423,107.133011533333,0.533333333333333,34.0533333333333,NA,NA,NA,NA,3.37,1.88666666666667,NA,NA,35.6
"54",2008-10-01,2008,10,"Autumn",462896.9453,453982.3216,9224318.453,1360478.011,107.26303705,1.2,41.225,NA,NA,NA,NA,2.295,0.95,NA,NA,38.015
"55",2008-11-01,2008,11,"Autumn",683723.0789,276951.8819,8885050.746,289916.3908,107.19166345,0.633333333333333,39.52,NA,NA,NA,NA,41.46,1.32,NA,NA,40.555
"56",2008-12-01,2008,12,"Winter",246962.6026,273467.3114,10001198.98,1053088.238,NA,0.45,25.86,NA,NA,NA,NA,8.24,0.3,NA,NA,31.78
"57",2009-01-01,2009,1,"Winter",82395.57921,217075.7702,14353529.4,703294.6162,107.7720696,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2009-02-01,2009,2,"Winter",213550.8458,33275.80111,8115144.702,299866.5401,107.195133,0.2,16.48,NA,NA,NA,NA,8.02,0.17,NA,NA,31.98
"59",2009-03-01,2009,3,"Spring",646100.4475,273233.5483,4385826.468,1624971.649,107.226524166667,0.266666666666667,16.84,NA,NA,NA,NA,8.03,0.243333333333333,NA,NA,31.45
"60",2009-04-01,2009,4,"Spring",503524.0469,3947071.92,796023.1304,307508.8493,107.314089,9.275,14.89,NA,NA,NA,NA,7.935,0.885,NA,NA,30.09
"61",2009-05-01,2009,5,"Spring",1262555.86,131859.3865,1407300.819,1905505.7,107.433045,20.025,4.725,NA,NA,NA,NA,9.535,1.785,NA,NA,31.775
"62",2009-06-01,2009,6,"Summer",2343039.553,184212.7365,233637.1306,1224580.413,107.34630625,18.7,3.445,NA,NA,NA,NA,11.385,1.875,NA,NA,21.39
"63",2009-07-01,2009,7,"Summer",4644386.163,1884501.812,3137356.677,1909991.608,107.224872,51.8,20.615,NA,NA,NA,NA,8.215,1.89,NA,NA,28.715
"64",2009-07-01,2009,7,"Summer",4644386.163,1884501.812,3137356.677,2494182.375,107.224872,51.8,20.615,NA,NA,NA,NA,8.215,1.89,NA,NA,28.715
"65",2009-07-01,2009,7,"Summer",4644386.163,1884501.812,15067930.01,1909991.608,107.224872,51.8,20.615,NA,NA,NA,NA,8.215,1.89,NA,NA,28.715
"66",2009-07-01,2009,7,"Summer",4644386.163,1884501.812,15067930.01,2494182.375,107.224872,51.8,20.615,NA,NA,NA,NA,8.215,1.89,NA,NA,28.715
"67",2009-07-01,2009,7,"Summer",4644386.163,2294613.671,3137356.677,1909991.608,107.224872,51.8,20.615,NA,NA,NA,NA,8.215,1.89,NA,NA,28.715
"68",2009-07-01,2009,7,"Summer",4644386.163,2294613.671,3137356.677,2494182.375,107.224872,51.8,20.615,NA,NA,NA,NA,8.215,1.89,NA,NA,28.715
"69",2009-07-01,2009,7,"Summer",4644386.163,2294613.671,15067930.01,1909991.608,107.224872,51.8,20.615,NA,NA,NA,NA,8.215,1.89,NA,NA,28.715
"70",2009-07-01,2009,7,"Summer",4644386.163,2294613.671,15067930.01,2494182.375,107.224872,51.8,20.615,NA,NA,NA,NA,8.215,1.89,NA,NA,28.715
"71",2009-07-01,2009,7,"Summer",281346.1084,1884501.812,3137356.677,1909991.608,107.224872,51.8,20.615,NA,NA,NA,NA,8.215,1.89,NA,NA,28.715
"72",2009-07-01,2009,7,"Summer",281346.1084,1884501.812,3137356.677,2494182.375,107.224872,51.8,20.615,NA,NA,NA,NA,8.215,1.89,NA,NA,28.715
"73",2009-07-01,2009,7,"Summer",281346.1084,1884501.812,15067930.01,1909991.608,107.224872,51.8,20.615,NA,NA,NA,NA,8.215,1.89,NA,NA,28.715
"74",2009-07-01,2009,7,"Summer",281346.1084,1884501.812,15067930.01,2494182.375,107.224872,51.8,20.615,NA,NA,NA,NA,8.215,1.89,NA,NA,28.715
"75",2009-07-01,2009,7,"Summer",281346.1084,2294613.671,3137356.677,1909991.608,107.224872,51.8,20.615,NA,NA,NA,NA,8.215,1.89,NA,NA,28.715
"76",2009-07-01,2009,7,"Summer",281346.1084,2294613.671,3137356.677,2494182.375,107.224872,51.8,20.615,NA,NA,NA,NA,8.215,1.89,NA,NA,28.715
"77",2009-07-01,2009,7,"Summer",281346.1084,2294613.671,15067930.01,1909991.608,107.224872,51.8,20.615,NA,NA,NA,NA,8.215,1.89,NA,NA,28.715
"78",2009-07-01,2009,7,"Summer",281346.1084,2294613.671,15067930.01,2494182.375,107.224872,51.8,20.615,NA,NA,NA,NA,8.215,1.89,NA,NA,28.715
"79",2009-08-01,2009,8,"Summer",1014370.31,6897856.922,1567405.426,1047726.038,107.1108725,0.75,16.64,NA,NA,NA,NA,9.205,2.51,NA,NA,40.97
"80",2009-08-01,2009,8,"Summer",1014370.31,6897856.922,1567405.426,1165579.456,107.1108725,0.75,16.64,NA,NA,NA,NA,9.205,2.51,NA,NA,40.97
"81",2009-08-01,2009,8,"Summer",1014370.31,6897856.922,4382636.627,1047726.038,107.1108725,0.75,16.64,NA,NA,NA,NA,9.205,2.51,NA,NA,40.97
"82",2009-08-01,2009,8,"Summer",1014370.31,6897856.922,4382636.627,1165579.456,107.1108725,0.75,16.64,NA,NA,NA,NA,9.205,2.51,NA,NA,40.97
"83",2009-08-01,2009,8,"Summer",1014370.31,6863932.486,1567405.426,1047726.038,107.1108725,0.75,16.64,NA,NA,NA,NA,9.205,2.51,NA,NA,40.97
"84",2009-08-01,2009,8,"Summer",1014370.31,6863932.486,1567405.426,1165579.456,107.1108725,0.75,16.64,NA,NA,NA,NA,9.205,2.51,NA,NA,40.97
"85",2009-08-01,2009,8,"Summer",1014370.31,6863932.486,4382636.627,1047726.038,107.1108725,0.75,16.64,NA,NA,NA,NA,9.205,2.51,NA,NA,40.97
"86",2009-08-01,2009,8,"Summer",1014370.31,6863932.486,4382636.627,1165579.456,107.1108725,0.75,16.64,NA,NA,NA,NA,9.205,2.51,NA,NA,40.97
"87",2009-08-01,2009,8,"Summer",2270583.521,6897856.922,1567405.426,1047726.038,107.1108725,0.75,16.64,NA,NA,NA,NA,9.205,2.51,NA,NA,40.97
"88",2009-08-01,2009,8,"Summer",2270583.521,6897856.922,1567405.426,1165579.456,107.1108725,0.75,16.64,NA,NA,NA,NA,9.205,2.51,NA,NA,40.97
"89",2009-08-01,2009,8,"Summer",2270583.521,6897856.922,4382636.627,1047726.038,107.1108725,0.75,16.64,NA,NA,NA,NA,9.205,2.51,NA,NA,40.97
"90",2009-08-01,2009,8,"Summer",2270583.521,6897856.922,4382636.627,1165579.456,107.1108725,0.75,16.64,NA,NA,NA,NA,9.205,2.51,NA,NA,40.97
"91",2009-08-01,2009,8,"Summer",2270583.521,6863932.486,1567405.426,1047726.038,107.1108725,0.75,16.64,NA,NA,NA,NA,9.205,2.51,NA,NA,40.97
"92",2009-08-01,2009,8,"Summer",2270583.521,6863932.486,1567405.426,1165579.456,107.1108725,0.75,16.64,NA,NA,NA,NA,9.205,2.51,NA,NA,40.97
"93",2009-08-01,2009,8,"Summer",2270583.521,6863932.486,4382636.627,1047726.038,107.1108725,0.75,16.64,NA,NA,NA,NA,9.205,2.51,NA,NA,40.97
"94",2009-08-01,2009,8,"Summer",2270583.521,6863932.486,4382636.627,1165579.456,107.1108725,0.75,16.64,NA,NA,NA,NA,9.205,2.51,NA,NA,40.97
"95",2009-09-01,2009,9,"Autumn",114619.0149,7210127.959,14708451.53,436362.5562,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"96",2009-09-01,2009,9,"Autumn",114619.0149,7210127.959,14708451.53,962029.8981,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"97",2009-09-01,2009,9,"Autumn",114619.0149,7210127.959,14708451.53,966343.3841,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"98",2009-09-01,2009,9,"Autumn",114619.0149,7210127.959,5415331.895,436362.5562,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"99",2009-09-01,2009,9,"Autumn",114619.0149,7210127.959,5415331.895,962029.8981,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"100",2009-09-01,2009,9,"Autumn",114619.0149,7210127.959,5415331.895,966343.3841,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"101",2009-09-01,2009,9,"Autumn",114619.0149,7210127.959,294311.9752,436362.5562,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"102",2009-09-01,2009,9,"Autumn",114619.0149,7210127.959,294311.9752,962029.8981,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"103",2009-09-01,2009,9,"Autumn",114619.0149,7210127.959,294311.9752,966343.3841,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"104",2009-09-01,2009,9,"Autumn",114619.0149,2136010.179,14708451.53,436362.5562,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"105",2009-09-01,2009,9,"Autumn",114619.0149,2136010.179,14708451.53,962029.8981,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"106",2009-09-01,2009,9,"Autumn",114619.0149,2136010.179,14708451.53,966343.3841,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"107",2009-09-01,2009,9,"Autumn",114619.0149,2136010.179,5415331.895,436362.5562,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"108",2009-09-01,2009,9,"Autumn",114619.0149,2136010.179,5415331.895,962029.8981,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"109",2009-09-01,2009,9,"Autumn",114619.0149,2136010.179,5415331.895,966343.3841,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"110",2009-09-01,2009,9,"Autumn",114619.0149,2136010.179,294311.9752,436362.5562,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"111",2009-09-01,2009,9,"Autumn",114619.0149,2136010.179,294311.9752,962029.8981,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"112",2009-09-01,2009,9,"Autumn",114619.0149,2136010.179,294311.9752,966343.3841,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"113",2009-09-01,2009,9,"Autumn",114619.0149,1539757.185,14708451.53,436362.5562,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"114",2009-09-01,2009,9,"Autumn",114619.0149,1539757.185,14708451.53,962029.8981,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"115",2009-09-01,2009,9,"Autumn",114619.0149,1539757.185,14708451.53,966343.3841,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"116",2009-09-01,2009,9,"Autumn",114619.0149,1539757.185,5415331.895,436362.5562,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"117",2009-09-01,2009,9,"Autumn",114619.0149,1539757.185,5415331.895,962029.8981,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"118",2009-09-01,2009,9,"Autumn",114619.0149,1539757.185,5415331.895,966343.3841,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"119",2009-09-01,2009,9,"Autumn",114619.0149,1539757.185,294311.9752,436362.5562,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"120",2009-09-01,2009,9,"Autumn",114619.0149,1539757.185,294311.9752,962029.8981,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"121",2009-09-01,2009,9,"Autumn",114619.0149,1539757.185,294311.9752,966343.3841,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"122",2009-09-01,2009,9,"Autumn",1067606.524,7210127.959,14708451.53,436362.5562,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"123",2009-09-01,2009,9,"Autumn",1067606.524,7210127.959,14708451.53,962029.8981,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"124",2009-09-01,2009,9,"Autumn",1067606.524,7210127.959,14708451.53,966343.3841,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"125",2009-09-01,2009,9,"Autumn",1067606.524,7210127.959,5415331.895,436362.5562,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"126",2009-09-01,2009,9,"Autumn",1067606.524,7210127.959,5415331.895,962029.8981,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"127",2009-09-01,2009,9,"Autumn",1067606.524,7210127.959,5415331.895,966343.3841,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"128",2009-09-01,2009,9,"Autumn",1067606.524,7210127.959,294311.9752,436362.5562,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"129",2009-09-01,2009,9,"Autumn",1067606.524,7210127.959,294311.9752,962029.8981,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"130",2009-09-01,2009,9,"Autumn",1067606.524,7210127.959,294311.9752,966343.3841,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"131",2009-09-01,2009,9,"Autumn",1067606.524,2136010.179,14708451.53,436362.5562,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"132",2009-09-01,2009,9,"Autumn",1067606.524,2136010.179,14708451.53,962029.8981,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"133",2009-09-01,2009,9,"Autumn",1067606.524,2136010.179,14708451.53,966343.3841,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"134",2009-09-01,2009,9,"Autumn",1067606.524,2136010.179,5415331.895,436362.5562,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"135",2009-09-01,2009,9,"Autumn",1067606.524,2136010.179,5415331.895,962029.8981,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"136",2009-09-01,2009,9,"Autumn",1067606.524,2136010.179,5415331.895,966343.3841,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"137",2009-09-01,2009,9,"Autumn",1067606.524,2136010.179,294311.9752,436362.5562,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"138",2009-09-01,2009,9,"Autumn",1067606.524,2136010.179,294311.9752,962029.8981,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"139",2009-09-01,2009,9,"Autumn",1067606.524,2136010.179,294311.9752,966343.3841,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"140",2009-09-01,2009,9,"Autumn",1067606.524,1539757.185,14708451.53,436362.5562,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"141",2009-09-01,2009,9,"Autumn",1067606.524,1539757.185,14708451.53,962029.8981,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"142",2009-09-01,2009,9,"Autumn",1067606.524,1539757.185,14708451.53,966343.3841,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"143",2009-09-01,2009,9,"Autumn",1067606.524,1539757.185,5415331.895,436362.5562,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"144",2009-09-01,2009,9,"Autumn",1067606.524,1539757.185,5415331.895,962029.8981,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"145",2009-09-01,2009,9,"Autumn",1067606.524,1539757.185,5415331.895,966343.3841,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"146",2009-09-01,2009,9,"Autumn",1067606.524,1539757.185,294311.9752,436362.5562,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
"147",2009-09-01,2009,9,"Autumn",1067606.524,1539757.185,294311.9752,962029.8981,107.218263333333,1.7,22.7233333333333,NA,NA,NA,NA,8.2,1.37,NA,NA,56.8566666666667
